y_ord,interface_cond,prob,SE,df,asymp.LCL,asymp.UCL,lower.CL,upper.CL
1,chatbot,0.04515610248986585,0.016345061081521024,Inf,0.013120371444977352,0.07719183353475435,0.013120371444977352,0.07719183353475435
2,chatbot,0.12283608377214957,0.026178756861652924,Inf,0.07152666316327903,0.1741455043810201,0.07152666316327903,0.1741455043810201
3,chatbot,0.13589983048078025,0.023982227139579773,Inf,0.08889552901814486,0.18290413194341565,0.08889552901814486,0.18290413194341565
4,chatbot,0.13894462213275216,0.022189922355363288,Inf,0.09545317349649993,0.1824360707690044,0.09545317349649993,0.1824360707690044
5,chatbot,0.13011317920405618,0.02065617188995609,Inf,0.0896278262412736,0.17059853216683876,0.0896278262412736,0.17059853216683876
6,chatbot,0.08451525102519927,0.01646627871485943,Inf,0.05224193778467631,0.11678856426572223,0.05224193778467631,0.11678856426572223
7,chatbot,0.07054217981068073,0.014441043597139694,Inf,0.042238254461114184,0.09884610516024728,0.042238254461114184,0.09884610516024728
8,chatbot,0.05492681990523285,0.012303667436963402,Inf,0.030812074851026352,0.07904156495943934,0.030812074851026352,0.07904156495943934
9,chatbot,0.07560643625078917,0.014445983681637853,Inf,0.04729282851352565,0.10392004398805268,0.04729282851352565,0.10392004398805268
10,chatbot,0.029493243553063292,0.008145417485135132,Inf,0.013528518643155615,0.04545796846297097,0.013528518643155615,0.04545796846297097
11,chatbot,0.03887144053240252,0.009602829790132043,Inf,0.020050239994075392,0.05769264107072965,0.020050239994075392,0.05769264107072965
12,chatbot,0.028996344964192955,0.008043144407147486,Inf,0.01323207160372912,0.04476061832465679,0.01323207160372912,0.04476061832465679
13,chatbot,0.027315179862671513,0.008195094248392012,Inf,0.01125309028591183,0.043377269439431196,0.01125309028591183,0.043377269439431196
14,chatbot,0.008747376623399472,0.003574743803684741,Inf,0.0017410075142196592,0.015753745732579285,0.0017410075142196592,0.015753745732579285
15,chatbot,0.0060019952968763945,0.0028243407445784283,Inf,4.6638915743363665e-4,0.011537601436319152,4.6638915743363665e-4,0.011537601436319152
16,chatbot,0.0014895390405275655,9.795133591204614e-4,Inf,-4.302718657243866e-4,0.0034093499467795175,-4.302718657243866e-4,0.0034093499467795175
17,chatbot,3.541764979469453e-4,3.210119654775106e-4,Inf,-2.7499539299539056e-4,9.833483888892812e-4,-2.7499539299539056e-4,9.833483888892812e-4
18,chatbot,1.7473373804144376e-4,1.891970169482543e-4,Inf,-1.9608560115954877e-4,5.455530772424362e-4,-1.9608560115954877e-4,5.455530772424362e-4
19,chatbot,1.546481937186872e-5,2.929104572775443e-5,Inf,-4.1944575324045766e-5,7.28742140677832e-5,-4.1944575324045766e-5,7.28742140677832e-5
1,dashboard,0.003344327874013153,0.002011673975323809,Inf,-5.98480666258029e-4,0.007287136414284335,-5.98480666258029e-4,0.007287136414284335
2,dashboard,0.022264155790184186,0.008106607601049566,Inf,0.006375496855328393,0.03815281472503998,0.006375496855328393,0.03815281472503998
3,dashboard,0.04447011906325061,0.012039132468462284,Inf,0.020873853019957738,0.06806638510654348,0.020873853019957738,0.06806638510654348
4,dashboard,0.06962228758321051,0.015094710930044183,Inf,0.040037197803280813,0.09920737736314021,0.040037197803280813,0.09920737736314021
5,dashboard,0.09222953914170699,0.01703270489137195,Inf,0.05884605099531876,0.12561302728809523,0.05884605099531876,0.12561302728809523
6,dashboard,0.07735317329115794,0.015430505477963772,Inf,0.04710993829110094,0.10759640829121495,0.04710993829110094,0.10759640829121495
7,dashboard,0.07772422359463554,0.015437455785521177,Inf,0.04746736624208456,0.10798108094718653,0.04746736624208456,0.10798108094718653
8,dashboard,0.0708262551463554,0.014902513002620656,Inf,0.041617866382079066,0.10003464391063174,0.041617866382079066,0.10003464391063174
9,dashboard,0.11736652838288342,0.018934466224445543,Inf,0.08025565651648006,0.15447740024928677,0.08025565651648006,0.15447740024928677
10,dashboard,0.05450434927550851,0.01334624446129941,Inf,0.028346190802494498,0.08066250774852253,0.028346190802494498,0.08066250774852253
11,dashboard,0.08349538261403112,0.016411787362385775,Inf,0.0513288704618254,0.11566189476623684,0.0513288704618254,0.11566189476623684
12,dashboard,0.07630490456394165,0.01598557495560982,Inf,0.044973753378780935,0.10763605574910237,0.044973753378780935,0.10763605574910237
13,dashboard,0.09587163998574694,0.01882116262774582,Inf,0.05898283908819389,0.13276044088329997,0.05898283908819389,0.13276044088329997
14,dashboard,0.04349255564876359,0.01250495654968066,Inf,0.01898329118315124,0.06800182011437593,0.01898329118315124,0.06800182011437593
15,dashboard,0.04279969636956149,0.012862957809311433,Inf,0.017588762328652856,0.06801063041047012,0.017588762328652856,0.06801063041047012
16,dashboard,0.017007814810278854,0.007617155336318457,Inf,0.0020784646864475988,0.03193716493411011,0.0020784646864475988,0.03193716493411011
17,dashboard,0.005988114385330812,0.004019673367692215,Inf,-0.0018903006449607577,0.013866529415622381,-0.0018903006449607577,0.013866529415622381
18,dashboard,0.004502597364688721,0.003421488274791803,Inf,-0.002203396427429295,0.011208591156806736,-0.002203396427429295,0.011208591156806736
19,dashboard,8.323351147505598e-4,0.0011569623625541409,Inf,-0.0014352694473239282,0.0030999396768250477,-0.0014352694473239282,0.0030999396768250477
