y_ord,interface_cond,task_complexity,prob,SE,df,asymp.LCL,asymp.UCL,lower.CL,upper.CL
1,chatbot,easy,0.1409969321334867,0.047493849183203166,Inf,0.04791069824723147,0.23408316601974194,0.04791069824723147,0.23408316601974194
2,chatbot,easy,0.2834582335412311,0.051101042447478345,Inf,0.18330203077172105,0.3836144363107412,0.18330203077172105,0.3836144363107412
3,chatbot,easy,0.21498481038848194,0.034780224115087625,Inf,0.14681682374867874,0.2831527970282851,0.14681682374867874,0.2831527970282851
4,chatbot,easy,0.15231705042845778,0.02895861620599966,Inf,0.09555920562258052,0.20907489523433503,0.09555920562258052,0.20907489523433503
5,chatbot,easy,0.09743914176137936,0.023940845028282986,Inf,0.0505159477464899,0.1443623357762688,0.0505159477464899,0.1443623357762688
6,chatbot,easy,0.04440670661372659,0.014379417931841222,Inf,0.016223565348668367,0.07258984787878481,0.016223565348668367,0.07258984787878481
7,chatbot,easy,0.027092677603087423,0.010232085760323343,Inf,0.0070381580261285395,0.047147197180046306,0.0070381580261285395,0.047147197180046306
8,chatbot,easy,0.01543903594356355,0.006695525290669561,Inf,0.002316047516274136,0.028562024370852965,0.002316047516274136,0.028562024370852965
9,chatbot,easy,0.014330211800739012,0.006801346198080953,Inf,9.998182061119222e-4,0.027660605395366102,9.998182061119222e-4,0.027660605395366102
10,chatbot,easy,0.0036981649955289964,0.0021278209712436796,Inf,-4.722874736576522e-4,0.007868617464715646,-4.722874736576522e-4,0.007868617464715646
11,chatbot,easy,0.003413627200379743,0.002088077376459351,Inf,-6.789292544134677e-4,0.007506183655172954,-6.789292544134677e-4,0.007506183655172954
12,chatbot,easy,0.0015377127466440488,0.0010663685038325627,Inf,-5.523311151156363e-4,0.003627756608403734,-5.523311151156363e-4,0.003627756608403734
13,chatbot,easy,7.463492250879833e-4,5.890206475882784e-4,Inf,-4.081100303355014e-4,0.001900808480511468,-4.081100303355014e-4,0.001900808480511468
14,chatbot,easy,1.0350773594325346e-4,9.952668913505444e-5,Inf,-9.15609902619671e-5,2.9857646214847405e-4,-9.15609902619671e-5,2.9857646214847405e-4
15,chatbot,easy,3.252478450332941e-5,3.588419163567221e-5,Inf,-3.780693871692156e-5,1.0285650772358037e-4,-3.780693871692156e-5,1.0285650772358037e-4
16,chatbot,easy,2.9352544356209265e-6,4.034440595823545e-6,Inf,-4.972103829959537e-6,1.084261270120139e-5,-4.972103829959537e-6,1.084261270120139e-5
17,chatbot,easy,3.077784838101394e-7,5.198467961367111e-7,Inf,-7.111025140963499e-7,1.3266594817166286e-6,-7.111025140963499e-7,1.3266594817166286e-6
18,chatbot,easy,6.82850355149256e-8,1.3563055253584548e-7,Inf,-1.9754596265859917e-7,3.3411603368845037e-7,-1.9754596265859917e-7,3.3411603368845037e-7
19,chatbot,easy,1.779804192914014e-9,5.318640096432851e-9,Inf,-8.644538842825012e-9,1.220414722865304e-8,-8.644538842825012e-9,1.220414722865304e-8
1,dashboard,easy,0.0024553186823912357,0.0018694312236433475,Inf,-0.0012086991875243677,0.006119336552306839,-0.0012086991875243677,0.006119336552306839
2,dashboard,easy,0.024503608159556687,0.011150415384628062,Inf,0.0026491955930243553,0.04635802072608902,0.0026491955930243553,0.04635802072608902
3,dashboard,easy,0.056830590809777926,0.018602850913319823,Inf,0.020369673009903028,0.09329150860965282,0.020369673009903028,0.09329150860965282
4,dashboard,easy,0.09383544038426159,0.023575300471266974,Inf,0.047628700535868165,0.14004218023265502,0.047628700535868165,0.14004218023265502
5,dashboard,easy,0.12574847885746387,0.025213013755623633,Inf,0.0763318799547286,0.17516507776019916,0.0763318799547286,0.17516507776019916
6,dashboard,easy,0.10419154004871767,0.021099875208469305,Inf,0.06283654456182827,0.14554653553560706,0.06283654456182827,0.14554653553560706
7,dashboard,easy,0.10114254420865332,0.02002660442105971,Inf,0.06189112081074567,0.14039396760656098,0.06189112081074567,0.14039396760656098
8,dashboard,easy,0.08720075315473241,0.01849986431626244,Inf,0.050941685375980324,0.12345982093348451,0.050941685375980324,0.12345982093348451
9,dashboard,easy,0.1322210085046176,0.023242392869939496,Inf,0.08666675556500565,0.17777526144422956,0.08666675556500565,0.17777526144422956
10,dashboard,easy,0.05560269404369622,0.015016587531824086,Inf,0.026170723310627798,0.08503466477676465,0.026170723310627798,0.08503466477676465
11,dashboard,easy,0.0762092329091979,0.01900225125943254,Inf,0.038965504815529246,0.11345296100286656,0.038965504815529246,0.11345296100286656
12,dashboard,easy,0.05766018565858422,0.01695402011164844,Inf,0.024430916846585535,0.0908894544705829,0.024430916846585535,0.0908894544705829
