y_ord,interface_cond,task_complexity,prob,SE,df,asymp.LCL,asymp.UCL,lower.CL,upper.CL,p.value.raw,p.value
1,chatbot,easy,0.14099795016302616,0.04749449871389688,Inf,0.04791044322000437,0.23408545710604794,0.04791044322000437,0.23408545710604794,NA,NA
2,chatbot,easy,0.28345359500512857,0.05110105939058764,Inf,0.18329735902773447,0.38360983098252266,0.18329735902773447,0.38360983098252266,NA,NA
3,chatbot,easy,0.21498630557120724,0.03478041696726149,Inf,0.14681794094808892,0.28315467019432555,0.14681794094808892,0.28315467019432555,NA,NA
4,chatbot,easy,0.1523196511975019,0.028959185764733632,Inf,0.09556069007701898,0.20907861231798483,0.09556069007701898,0.20907861231798483,NA,NA
5,chatbot,easy,0.0974397369175325,0.023941342630723887,Inf,0.05051556761978025,0.14436390621528472,0.05051556761978025,0.14436390621528472,NA,NA
6,chatbot,easy,0.044406903886075155,0.014379763384208953,Inf,0.01622308554681781,0.0725907222253325,0.01622308554681781,0.0725907222253325,NA,NA
7,chatbot,easy,0.02709254098092939,0.010232281896114713,Inf,0.007037636984883345,0.04714744497697544,0.007037636984883345,0.04714744497697544,NA,NA
8,chatbot,easy,0.015438586261078968,0.006695506915720123,Inf,0.002315633848028671,0.028561538674129264,0.002315633848028671,0.028561538674129264,NA,NA
9,chatbot,easy,0.01432985063504344,0.006801370723210975,Inf,9.994089720447921e-4,0.027660292298042087,9.994089720447921e-4,0.027660292298042087,NA,NA
10,chatbot,easy,0.0036981130390245642,0.002127846662989471,Inf,-4.7238978505853655e-4,0.007868615863107664,-4.7238978505853655e-4,0.007868615863107664,NA,NA
11,chatbot,easy,0.0034134613446574757,0.0020880384054265655,Inf,-6.790187283150359e-4,0.007505941417629987,-6.790187283150359e-4,0.007505941417629987,NA,NA
12,chatbot,easy,0.0015376588155837645,0.0010663609110154264,Inf,-5.523701645277924e-4,0.0036276877956953214,-5.523701645277924e-4,0.0036276877956953214,NA,NA
13,chatbot,easy,7.46311879072814e-4,5.890080784893003e-4,Inf,-4.081227413693556e-4,0.0019007464995149837,-4.081227413693556e-4,0.0019007464995149837,NA,NA
14,chatbot,easy,1.0350021018845634e-4,9.952217427507305e-5,Inf,-9.155966705380546e-5,2.9856008743071817e-4,-9.155966705380546e-5,2.9856008743071817e-4,NA,NA
15,chatbot,easy,3.252136783526982e-5,3.588139468512152e-5,Inf,-3.780487346263525e-5,1.0284760913317489e-4,-3.780487346263525e-5,1.0284760913317489e-4,NA,NA
16,chatbot,easy,2.934933866494127e-6,4.0340887987273475e-6,Inf,-4.971734889447924e-6,1.0841602622436178e-5,-4.971734889447924e-6,1.0841602622436178e-5,NA,NA
17,chatbot,easy,3.077368794235369e-7,5.197867030623573e-7,Inf,-7.110263382214986e-7,1.3265000970685724e-6,-7.110263382214986e-7,1.3265000970685724e-6,NA,NA
18,chatbot,easy,6.827587517577172e-8,1.3561447036037924e-7,Inf,-1.975236025130462e-7,3.340753528645896e-7,-1.975236025130462e-7,3.340753528645896e-7,NA,NA
19,chatbot,easy,1.7794932194448165e-9,5.317788153868798e-9,Inf,-8.643180039551768e-9,1.2202166478441401e-8,-8.643180039551768e-9,1.2202166478441401e-8,NA,NA
1,dashboard,easy,0.002455355729458107,0.0018694520472551804,Inf,-0.0012087029539867172,0.006119414412902931,-0.0012087029539867172,0.006119414412902931,NA,NA
2,dashboard,easy,0.024503014500819795,0.011150211168324164,Inf,0.0026490021908881604,0.046357026810751434,0.0026490021908881604,0.046357026810751434,NA,NA
3,dashboard,easy,0.05683031956834035,0.018602869707365258,Inf,0.02036936493281328,0.09329127420386743,0.02036936493281328,0.09329127420386743,NA,NA
4,dashboard,easy,0.09383677775301807,0.023575674988979046,Inf,0.04762930386339742,0.14004425164263873,0.04762930386339742,0.14004425164263873,NA,NA
5,dashboard,easy,0.1257500534914784,0.025213303786181574,Inf,0.07633288613929512,0.17516722084366165,0.07633288613929512,0.17516722084366165,NA,NA
6,dashboard,easy,0.10419339062922073,0.02110020037588622,Inf,0.06283775782590523,0.14554902343253623,0.06283775782590523,0.14554902343253623,NA,NA
7,dashboard,easy,0.10114404037805436,0.020026869453137242,Inf,0.061892097526820004,0.1403959832292887,0.061892097526820004,0.1403959832292887,NA,NA
8,dashboard,easy,0.08720013543166127,0.01849976313644183,Inf,0.05094126596171355,0.12345900490160899,0.05094126596171355,0.12345900490160899,NA,NA
