term,component,Estimate,Std. Error,z value,Pr(>|z|),estimate,SE,z.ratio,p.value,p.value.raw,conf.low,conf.high,lower.CL,upper.CL
0|5,threshold,-1.0758465262682837,0.2123583748819829,-5.066183647648368,4.0587037104509417e-7,-1.0758465262682837,0.2123583748819829,-5.066183647648368,4.0587037104509417e-7,4.0587037104509417e-7,-1.4920612928524253,-0.6596317596841421,-1.4920612928524253,-0.6596317596841421
5|10,threshold,-0.19051819041955612,0.19535024920459895,-0.9752646397702722,0.3294290056596379,-0.19051819041955612,0.19535024920459895,-0.9752646397702722,0.3294290056596379,0.3294290056596379,-0.5733976432314943,0.19236126239238208,-0.5733976432314943,0.19236126239238208
10|15,threshold,0.35695659710208455,0.19468177781962004,1.833538819605491,0.06672248107372775,0.35695659710208455,0.19468177781962004,1.833538819605491,0.06672248107372775,0.06672248107372775,-0.0246126758705994,0.7385258700747686,-0.0246126758705994,0.7385258700747686
15|20,threshold,0.8125345042667581,0.19769001110154522,4.110144461721906,3.95411665337248e-5,0.8125345042667581,0.19769001110154522,4.110144461721906,3.95411665337248e-5,3.95411665337248e-5,0.4250692024044061,1.1999998061291102,0.4250692024044061,1.1999998061291102
20|25,threshold,1.222270047284466,0.20282586780794915,6.026203957582983,1.6785533841662797e-9,1.222270047284466,0.20282586780794915,6.026203957582983,1.6785533841662797e-9,1.6785533841662797e-9,0.8247386512478039,1.6198014433211283,0.8247386512478039,1.6198014433211283
25|30,threshold,1.5031835646712968,0.20721180964107697,7.254333463305224,4.0364456787141196e-13,1.5031835646712968,0.20721180964107697,7.254333463305224,4.0364456787141196e-13,4.0364456787141196e-13,1.0970558806034165,1.909311248739177,1.0970558806034165,1.909311248739177
30|35,threshold,1.7588285582704737,0.21126553857366165,8.32520329697418,8.418413874210903e-17,1.7588285582704737,0.21126553857366165,8.32520329697418,8.418413874210903e-17,8.418413874210903e-17,1.3447557114916395,2.172901405049308,1.3447557114916395,2.172901405049308
35|40,threshold,1.9797692775029243,0.21493740795544455,9.210910731338682,3.233694909379322e-20,1.9797692775029243,0.21493740795544455,9.210910731338682,3.233694909379322e-20,3.233694909379322e-20,1.55849969897986,2.4010388560259885,1.55849969897986,2.4010388560259885
40|45,threshold,2.3441644960607118,0.22149574750083775,10.583338608123144,3.560407800645559e-26,2.3441644960607118,0.22149574750083775,10.583338608123144,3.560407800645559e-26,3.560407800645559e-26,1.9100408082302922,2.7782881838911315,1.9100408082302922,2.7782881838911315
45|50,threshold,2.5218625045287224,0.2248111284556689,11.217694256741455,3.338618030027472e-29,2.5218625045287224,0.2248111284556689,11.217694256741455,3.338618030027472e-29,3.338618030027472e-29,2.0812407894318037,2.962484219625641,2.0812407894318037,2.962484219625641
50|55,threshold,2.8170558302678264,0.23057603085128098,12.217470393029693,2.5076667061081755e-34,2.8170558302678264,0.23057603085128098,12.217470393029693,2.5076667061081755e-34,2.5076667061081755e-34,2.365135114101119,3.2689765464345335,2.365135114101119,3.2689765464345335
55|60,threshold,3.126120034639904,0.23726548951825985,13.17562044521152,1.2122671125855255e-39,3.126120034639904,0.23726548951825985,13.17562044521152,1.2122671125855255e-39,1.2122671125855255e-39,2.661088220409849,3.591151848869959,2.661088220409849,3.591151848869959
60|65,threshold,3.6343627008946213,0.2524111440965662,14.398582574088746,5.281560078294945e-47,3.6343627008946213,0.2524111440965662,14.398582574088746,5.281560078294945e-47,5.281560078294945e-47,3.139645949168802,4.129079452620441,3.139645949168802,4.129079452620441
65|70,threshold,3.970678664325165,0.2653547011507402,14.96366428446858,1.2684513546034312e-50,3.970678664325165,0.2653547011507402,14.96366428446858,1.2684513546034312e-50,1.2684513546034312e-50,3.4505930069413253,4.490764321709005,3.4505930069413253,4.490764321709005
70|75,threshold,4.505379197525004,0.29347290044511354,15.351942856364749,3.4373571212908113e-53,4.505379197525004,0.29347290044511354,15.351942856364749,3.4373571212908113e-53,3.4373571212908113e-53,3.9301828822140727,5.080575512835935,3.9301828822140727,5.080575512835935
75|80,threshold,4.946503294291867,0.32830603647088946,15.066744880673152,2.6799552263614936e-51,4.946503294291867,0.32830603647088946,15.066744880673152,2.6799552263614936e-51,2.6799552263614936e-51,4.303035286901831,5.589971301681904,4.303035286901831,5.589971301681904
80|85,threshold,5.265103058877896,0.365020952192558,14.424111896186218,3.6493708625170783e-47,5.265103058877896,0.365020952192558,14.424111896186218,3.6493708625170783e-47,3.6493708625170783e-47,4.549675138977966,5.980530978777827,4.549675138977966,5.980530978777827
85|90,threshold,5.903486559016015,0.4927796948962496,11.979971212610417,4.5248078400615646e-33,5.903486559016015,0.4927796948962496,11.979971212610417,4.5248078400615646e-33,4.5248078400615646e-33,4.937656104706729,6.8693170133253005,4.937656104706729,6.8693170133253005
interface_conddashboard,location,1.7369866897564825,0.2606911180173785,6.663006791204484,2.6828125950111736e-11,1.7369866897564825,0.2606911180173785,6.663006791204484,2.6828125950111736e-11,2.6828125950111736e-11,1.2260414873529402,2.247931892160025,1.2260414873529402,2.247931892160025
task_complexitymid,location,0.876698167255695,0.18950449660340976,4.626265777167425,3.7231747406610267e-6,0.876698167255695,0.18950449660340976,4.626265777167425,3.7231747406610267e-6,3.7231747406610267e-6,0.505276179004619,1.2481201555067711,0.505276179004619,1.2481201555067711
task_complexityhard,location,2.0990183476216044,0.20644671228497474,10.167361467709707,2.7731906845803715e-24,2.0990183476216044,0.20644671228497474,10.167361467709707,2.7731906845803715e-24,2.7731906845803715e-24,1.6943902268163513,2.5036464684268576,1.6943902268163513,2.5036464684268576
interface_conddashboard:task_complexitymid,location,-0.8236698268211312,0.2543474058115891,-3.2383653538470707,0.0012021675113470113,-0.8236698268211312,0.2543474058115891,-3.2383653538470707,0.0012021675113470113,0.0012021675113470113,-1.3221815817730393,-0.3251580718692231,-1.3221815817730393,-0.3251580718692231
interface_conddashboard:task_complexityhard,location,-0.9621669019833685,0.255602056318526,-3.7643159677257683,1.6700560766131798e-4,-0.9621669019833685,0.255602056318526,-3.7643159677257683,1.6700560766131798e-4,1.6700560766131798e-4,-1.4631377267420578,-0.46119607722467915,-1.4631377267420578,-0.46119607722467915
