term,symbolic_label,parameter_meaning,component,Estimate,Std. Error,z value,Pr(>|z|),estimate,SE,z.ratio,p.value,p.value.raw,conf.low,conf.high,lower.CL,upper.CL
0|5,NA,NA,threshold,-1.4890791174308082,0.30535403136850786,-4.87656609856169,1.0794852675720782e-6,-1.4890791174308082,0.30535403136850786,-4.87656609856169,1.0794852675720782e-6,1.0794852675720782e-6,-2.0875620214471975,-0.8905962134144191,-2.0875620214471975,-0.8905962134144191
5|10,NA,NA,threshold,-0.6695993087013028,0.2926029891662768,-2.2884226528553717,0.022112919695420757,-0.6695993087013028,0.2926029891662768,-2.2884226528553717,0.022112919695420757,0.022112919695420757,-1.2430906292359687,-0.09610798816663679,-1.2430906292359687,-0.09610798816663679
10|15,NA,NA,threshold,-0.14842873832465062,0.2908889531036298,-0.5102591100177413,0.6098699455209169,-0.14842873832465062,0.2908889531036298,-0.5102591100177413,0.6098699455209169,0.6098699455209169,-0.7185606099083257,0.4217031332590244,-0.7185606099083257,0.4217031332590244
15|20,NA,NA,threshold,0.29183409513225955,0.2917658685173064,1.00023384028879,0.3171973560859825,0.29183409513225955,0.2917658685173064,1.00023384028879,0.3171973560859825,0.3171973560859825,-0.2800164990797097,0.8636846893442288,-0.2800164990797097,0.8636846893442288
20|25,NA,NA,threshold,0.6915254576994411,0.2941225847268058,2.3511470849535776,0.018715634109322452,0.6915254576994411,0.2941225847268058,2.3511470849535776,0.018715634109322452,0.018715634109322452,0.11505578459507126,1.2679951308038109,0.11505578459507126,1.2679951308038109
25|30,NA,NA,threshold,0.9654791919040578,0.29632406563280245,3.2581869104767756,0.0011212652782114168,0.9654791919040578,0.29632406563280245,3.2581869104767756,0.0011212652782114168,0.0011212652782114168,0.384694695511282,1.5462636882968337,0.384694695511282,1.5462636882968337
30|35,NA,NA,threshold,1.2155192302876532,0.2982474687323376,4.0755391335056785,4.5907860758333146e-5,1.2155192302876532,0.2982474687323376,4.0755391335056785,4.5907860758333146e-5,4.5907860758333146e-5,0.6309649330920357,1.8000735274832707,0.6309649330920357,1.8000735274832707
35|40,NA,NA,threshold,1.4337950773106822,0.30006667389187247,4.778254974850499,1.7682306683507012e-6,1.4337950773106822,0.30006667389187247,4.778254974850499,1.7682306683507012e-6,1.7682306683507012e-6,0.845675203521887,2.0219149510994776,0.845675203521887,2.0219149510994776
40|45,NA,NA,threshold,1.7948187090700374,0.30361123015655744,5.911568910492992,3.3886444237166435e-9,1.7948187090700374,0.30361123015655744,5.911568910492992,3.3886444237166435e-9,3.3886444237166435e-9,1.1997516326612838,2.389885785478791,1.1997516326612838,2.389885785478791
45|50,NA,NA,threshold,1.9693467486399034,0.30535742841610247,6.449316654436606,1.1235559169534287e-10,1.9693467486399034,0.30535742841610247,6.449316654436606,1.1235559169534287e-10,1.1235559169534287e-10,1.3708571865325752,2.5678363107472317,1.3708571865325752,2.5678363107472317
50|55,NA,NA,threshold,2.256777748728348,0.30848440684509254,7.315694727680688,2.560531687046786e-13,2.256777748728348,0.30848440684509254,7.315694727680688,2.560531687046786e-13,2.560531687046786e-13,1.6521594215197652,2.8613960759369306,1.6521594215197652,2.8613960759369306
55|60,NA,NA,threshold,2.557260634142601,0.31243219852088,8.185009887742726,2.7228129426122937e-16,2.557260634142601,0.31243219852088,8.185009887742726,2.7228129426122937e-16,2.7228129426122937e-16,1.944904777431008,3.169616490854194,1.944904777431008,3.169616490854194
