y_ord,interface_cond,dl_ord,prob,SE,df,asymp.LCL,asymp.UCL,lower.CL,upper.CL,p.value.raw,p.value
1,chatbot,low,0.06506003536465449,0.041861755854699166,Inf,-0.016987498440164603,0.1471075691694736,-0.016987498440164603,0.1471075691694736,NA,NA
2,chatbot,low,0.15120648866093453,0.05304312226164603,Inf,0.04724387940055355,0.2551690979213155,0.04724387940055355,0.2551690979213155,NA,NA
3,chatbot,low,0.15029314992825904,0.0321530799497309,Inf,0.08727427123474955,0.2133120286217685,0.08727427123474955,0.2133120286217685,NA,NA
4,chatbot,low,0.1421863811578497,0.022738102615783573,Inf,0.09762051895413792,0.1867522433615615,0.09762051895413792,0.1867522433615615,NA,NA
5,chatbot,low,0.12636079781413043,0.021650314796595613,Inf,0.0839269605588484,0.16879463506941245,0.0839269605588484,0.16879463506941245,NA,NA
6,chatbot,low,0.07885597143774978,0.01834602451230552,Inf,0.04289842413414196,0.11481351874135759,0.04289842413414196,0.11481351874135759,NA,NA
7,chatbot,low,0.06389016579602119,0.01723042677678598,Inf,0.030119149875266114,0.09766118171677626,0.030119149875266114,0.09766118171677626,NA,NA
8,chatbot,low,0.048578883126979416,0.015234467776544138,Inf,0.018719874961316916,0.07843789129264192,0.018719874961316916,0.07843789129264192,NA,NA
9,chatbot,low,0.06479765765671541,0.021690819436284283,Inf,0.02228443276643683,0.107310882546994,0.02228443276643683,0.107310882546994,NA,NA
10,chatbot,low,0.024483277555779337,0.010584493170768424,Inf,0.0037380521464630695,0.045228502965095604,0.0037380521464630695,0.045228502965095604,NA,NA
11,chatbot,low,0.03129537439024893,0.014299800336556139,Inf,0.003268280744485163,0.059322468036012696,0.003268280744485163,0.059322468036012696,NA,NA
12,chatbot,low,0.022373666678912663,0.011944447894421879,Inf,-0.0010370210093694973,0.04578435436719482,-0.0010370210093694973,0.04578435436719482,NA,NA
13,chatbot,low,0.019861857236220914,0.012550173019660058,Inf,-0.004736029882059088,0.04445974435450092,-0.004736029882059088,0.04445974435450092,NA,NA
14,chatbot,low,0.005899569330883259,0.004682544741522119,Inf,-0.0032780497184975096,0.015077188380264027,-0.0032780497184975096,0.015077188380264027,NA,NA
15,chatbot,low,0.0037524088812241896,0.003487816902322371,Inf,-0.0030835866319977112,0.01058840439444609,-0.0030835866319977112,0.01058840439444609,NA,NA
16,chatbot,low,8.346572455595336e-4,9.741772015470659e-4,Inf,-0.0010746949840327326,0.0027440094751518,-0.0010746949840327326,0.0027440094751518,NA,NA
17,chatbot,low,1.8133993378283142e-4,2.5867151090027145e-4,Inf,-3.2564691140826057e-4,6.883267789739234e-4,-3.2564691140826057e-4,6.883267789739234e-4,NA,NA
