term,symbolic_label,parameter_meaning,component,Estimate,Std. Error,z value,Pr(>|z|),estimate,SE,z.ratio,p.value,p.value.raw,conf.low,conf.high,lower.CL,upper.CL
0|5,NA,NA,threshold,-1.127840187012445,0.36810176364773517,-3.0639358416434046,0.00218445752248024,-1.127840187012445,0.36810176364773517,-3.0639358416434046,0.00218445752248024,0.00218445752248024,-1.849306386407681,-0.406373987617209,-1.849306386407681,-0.406373987617209
5|10,NA,NA,threshold,-0.30568557541076796,0.35950680438445204,-0.8502914873451788,0.39516304816921277,-0.30568557541076796,0.35950680438445204,-0.8502914873451788,0.39516304816921277,0.39516304816921277,-1.0103059642013803,0.3989348133798443,-1.0103059642013803,0.3989348133798443
10|15,NA,NA,threshold,0.21469235532178635,0.35911434865971287,0.5978384214472674,0.5499477512704677,0.21469235532178635,0.35911434865971287,0.5978384214472674,0.5499477512704677,0.5499477512704677,-0.4891588343828106,0.9185435450263832,-0.4891588343828106,0.9185435450263832
15|20,NA,NA,threshold,0.6523643603455695,0.360206747546532,1.811083120427377,0.07012798598796757,0.6523643603455695,0.360206747546532,1.811083120427377,0.07012798598796757,0.07012798598796757,-0.05362789183394445,1.3583566125250837,-0.05362789183394445,1.3583566125250837
20|25,NA,NA,threshold,1.0502933876245684,0.3626765388895436,2.8959507302027183,0.0037801174420363844,1.0502933876245684,0.3626765388895436,2.8959507302027183,0.0037801174420363844,0.0037801174420363844,0.3394604333634228,1.761126341885714,0.3394604333634228,1.761126341885714
25|30,NA,NA,threshold,1.32294383300072,0.36474219811111114,3.627065472138523,2.8666062568396747e-4,1.32294383300072,0.36474219811111114,3.627065472138523,2.8666062568396747e-4,2.8666062568396747e-4,0.608062261060969,2.037825404940471,0.608062261060969,2.037825404940471
30|35,NA,NA,threshold,1.571650498659124,0.3664728733824189,4.288586175978945,1.7981403371748414e-5,1.571650498659124,0.3664728733824189,4.288586175978945,1.7981403371748414e-5,1.7981403371748414e-5,0.8533768655186756,2.289924131799572,0.8533768655186756,2.289924131799572
35|40,NA,NA,threshold,1.7889785663720759,0.36811345426349756,4.859856507965382,1.174708644085614e-6,1.7889785663720759,0.36811345426349756,4.859856507965382,1.174708644085614e-6,1.174708644085614e-6,1.0674894537909885,2.5104676789531633,1.0674894537909885,2.5104676789531633
40|45,NA,NA,threshold,2.149289073168415,0.3714184417946754,5.786705320239774,7.178033704491993e-9,2.149289073168415,0.3714184417946754,5.786705320239774,7.178033704491993e-9,7.178033704491993e-9,1.421322304056865,2.877255842279965,1.421322304056865,2.877255842279965
45|50,NA,NA,threshold,2.32404741342548,0.3731472240980149,6.228231816659637,4.717287272554805e-10,2.32404741342548,0.3731472240980149,6.228231816659637,4.717287272554805e-10,4.717287272554805e-10,1.5926922932622742,3.055402533588685,1.5926922932622742,3.055402533588685
50|55,NA,NA,threshold,2.612041855660039,0.37615334777883686,6.944087753263371,3.80913679980121e-12,2.612041855660039,0.37615334777883686,6.944087753263371,3.80913679980121e-12,3.80913679980121e-12,1.8747948413493494,3.3492888699707284,1.8747948413493494,3.3492888699707284
