term,component,Estimate,Std. Error,z value,Pr(>|z|),conf.low,conf.high
0|5,threshold,-1.3255380989636125,0.19435251519429997,-6.820277564395978,9.08647775476474e-12,-1.706462029049214,-0.944614168878011
5|10,threshold,-0.508271120689527,0.17218297160259036,-2.9519244322408964,0.003158002056838818,-0.8457435437816869,-0.17079869759736704
10|15,threshold,0.01169430288585656,0.1684909399450794,0.0694061229029192,0.944666355303008,-0.3185418711278002,0.3419304768995133
15|20,threshold,0.4522738618734508,0.17001278675679135,2.660234388843016,0.007808628960097492,0.11905492291885156,0.7854928008280501
20|25,threshold,0.852074706046049,0.1744962718330677,4.883053930580181,1.0445528680892693e-6,0.5100682978167252,1.1940811142753727
25|30,threshold,1.1261659389679812,0.1785483597135464,6.307344076275708,2.838643113953006e-10,0.776217584430728,1.4761142935052345
30|35,threshold,1.3763537834769253,0.18240368312631167,7.545646885451442,4.500479459479079e-14,1.0188491339018981,1.7338584330519524
35|40,threshold,1.5944889433761573,0.18619938990499046,8.563341395424317,1.0964266081087233e-17,1.2295448452190452,1.9594330415332695
40|45,threshold,1.9555328695376653,0.1931675896714484,10.1235040146422,4.345731359642117e-24,1.5769313508012153,2.3341343882741152
45|50,threshold,2.1302183848355924,0.19647755635230302,10.84204437587725,2.175542798920624e-27,1.7451294506146398,2.515307319056545
50|55,threshold,2.4179426425584256,0.20188140066872456,11.977045109401269,4.687345583310994e-33,2.0222623680992253,2.813622917017626
55|60,threshold,2.718918277172926,0.2082188985342172,13.057980309727352,5.722591682260487e-39,2.31081673514526,3.1270198192005916
60|65,threshold,3.209686952962264,0.22242764706144516,14.430251793634245,3.338600760598805e-47,2.773736775555845,3.6456371303686828
65|70,threshold,3.531557191581756,0.2345163190474392,15.058897418850302,3.0177800840051085e-51,3.0719136524618706,3.9912007307016415
70|75,threshold,4.051699918496469,0.26356725434905176,15.372546671259302,2.5014035245375784e-53,3.53511759246822,4.568282244524719
75|80,threshold,4.4826482069187525,0.29981136282604826,14.951562091125956,1.5213813427322398e-50,3.8950287336238274,5.070267680213678
80|85,threshold,4.792505931782257,0.3373705859940367,14.20546464553661,8.473873523272784e-46,4.131271733790772,5.453740129773742
85|90,threshold,5.446023212741141,0.48218985700645517,11.294354565131872,1.3992823888771645e-29,4.5009484592979705,6.391097966184312
interface_conddashboard,location,1.096389536462423,0.19814969765557353,5.5331375693955485,3.145525652181245e-8,0.7080232655099982,1.4847558074148477
task_complexitymid,location,0.4152163334800461,0.12722264210206444,3.263698400061041,0.0010996815966104565,0.1658645369419707,0.6645681300181215
task_complexityhard,location,1.5358998282291014,0.14225524720535157,10.796788578293803,3.564535548085779e-27,1.2570846670947702,1.8147149893634327
