y_ord,interface_cond,task_complexity,prob,SE,df,asymp.LCL,asymp.UCL,lower.CL,upper.CL
1,chatbot,easy,0.09249637084878018,0.032207825136196404,Inf,0.029370193561471386,0.15562254813608897,0.029370193561471386,0.15562254813608897
2,chatbot,easy,0.21313523919968377,0.04204741034869217,Inf,0.13072382927307036,0.2955466491262972,0.13072382927307036,0.2955466491262972
3,chatbot,easy,0.1990336354783363,0.03278106574160152,Inf,0.13478392724995752,0.2632833437067151,0.13478392724995752,0.2632833437067151
4,chatbot,easy,0.1697989027173722,0.02756830872230272,Inf,0.11576601050697743,0.22383179492776695,0.11576601050697743,0.22383179492776695
5,chatbot,easy,0.12844953690487793,0.024081241035152804,Inf,0.08125117177295038,0.17564790203680547,0.08125117177295038,0.17564790203680547
6,chatbot,easy,0.06703867095099914,0.016668349951753172,Inf,0.03436930536385298,0.09970803653814529,0.03436930536385298,0.09970803653814529
7,chatbot,easy,0.045691579333722254,0.013093269389781873,Inf,0.02002924288986906,0.07135391577757545,0.02002924288986906,0.07135391577757545
8,chatbot,easy,0.02894278195440847,0.009560545115093903,Inf,0.010204457856254078,0.04768110605256286,0.010204457856254078,0.04768110605256286
9,chatbot,easy,0.030153178792222457,0.01058514587839531,Inf,0.009406674099465058,0.050899683484979856,0.009406674099465058,0.050899683484979856
10,chatbot,easy,0.008683309863044886,0.0038937651764875333,Inf,0.0010516703528730747,0.016314949373216696,0.0010516703528730747,0.016314949373216696
11,chatbot,easy,0.008772525478453863,0.0041170848413951255,Inf,7.031874680236191e-4,0.016841863488884105,7.031874680236191e-4,0.016841863488884105
12,chatbot,easy,0.00452947908783885,0.0024313020114654243,Inf,-0.00023578529017316985,0.00929474346585087,-0.00023578529017316985,0.00929474346585087
13,chatbot,easy,0.0026103913744793816,0.0016003242737024422,Inf,-5.261865655626242e-4,0.0057469693145213874,-5.261865655626242e-4,0.0057469693145213874
14,chatbot,easy,4.578377580940485e-4,3.4883314617501355e-4,Inf,-2.2586264502277408e-4,0.0011415381612108711,-2.2586264502277408e-4,0.0011415381612108711
15,chatbot,easy,1.8113683117082502e-4,1.5877925474079213e-4,Inf,-1.3006478961323812e-4,4.923384519548882e-4,-1.3006478961323812e-4,4.923384519548882e-4
16,chatbot,easy,2.173730612731184e-5,2.4374948094814433e-5,Inf,-2.603671426355764e-5,6.951132651818133e-5,-2.603671426355764e-5,6.951132651818133e-5
17,chatbot,easy,2.862565886108115e-6,4.055068355196782e-6,Inf,-5.08522204492565e-6,1.081035381714188e-5,-5.08522204492565e-6,1.081035381714188e-5
18,chatbot,easy,7.978002932729211e-7,1.3418108402673924e-6,Inf,-1.8321006277165946e-6,3.427701214262437e-6,-1.8321006277165946e-6,3.427701214262437e-6
19,chatbot,easy,2.5754208765604858e-8,6.977847203305845e-8,Inf,-1.1100908331542509e-7,1.625175008466348e-7,-1.1100908331542509e-7,1.625175008466348e-7
1,dashboard,easy,0.007719212258671478,0.004561921336376024,Inf,-0.0012219892609303604,0.016660413778273316,-0.0012219892609303604,0.016660413778273316
2,dashboard,easy,0.04656504005178514,0.01651286860648506,Inf,0.014200412301632319,0.07892966780193797,0.014200412301632319,0.07892966780193797
3,dashboard,easy,0.08474407750726198,0.022019358255635394,Inf,0.041586928363531915,0.12790122665099204,0.041586928363531915,0.12790122665099204
4,dashboard,easy,0.12072188356880845,0.024690118817151017,Inf,0.07233013991317779,0.16911362722443912,0.07233013991317779,0.16911362722443912
5,dashboard,easy,0.14374328582809603,0.02484712773910991,Inf,0.09504381034017448,0.1924427613160176,0.09504381034017448,0.1924427613160176
6,dashboard,easy,0.10838381153895205,0.020939225237716182,Inf,0.06734368420885618,0.14942393886904792,0.06734368420885618,0.14942393886904792
7,dashboard,easy,0.09837022166337495,0.019528122024315767,Inf,0.060095805810012635,0.13664463751673725,0.060095805810012635,0.13664463751673725
8,dashboard,easy,0.08054547829614556,0.017641651071293347,Inf,0.04596847756858814,0.11512247902370297,0.04596847756858814,0.11512247902370297
9,dashboard,easy,0.11407626803023396,0.021782941868033496,Inf,0.07138248649155868,0.15677004956890925,0.07138248649155868,0.15677004956890925
