term,component,Estimate,Std. Error,z value,Pr(>|z|),conf.low,conf.high
0|5,threshold,-1.5413167222993613,0.15367555459189305,-10.029680559100916,1.1288120546760992e-23,-1.8425152746036906,-1.240118169995032
5|10,threshold,-0.8834961690067805,0.12883957959780337,-6.857335081073515,7.015694205856218e-12,-1.1360171048017567,-0.6309752332118044
10|15,threshold,-0.4768517517968668,0.12179693322785666,-3.9151375913938375,9.035266723193105e-5,-0.7155693543508956,-0.238134149242838
15|20,threshold,-0.1373027077578811,0.11945414333931446,-1.1494177089183675,0.2503837812831398,-0.37142852650702257,0.0968231109912604
20|25,threshold,0.1637315886864265,0.11967532227209124,1.3681315878487454,0.17127089081073366,-0.07082773280509647,0.3982909101779495
25|30,threshold,0.3674180054685989,0.12079278660967699,3.0417214121887324,0.0023522949344685837,0.13066849412139994,0.6041675168157978
30|35,threshold,0.555589896294424,0.12225124281559664,4.544656426376572,5.502493150668526e-6,0.31598186331059364,0.7951979292782544
35|40,threshold,0.7188553729271394,0.12388642695097803,5.802535359354509,6.531961343279519e-9,0.4760424379298702,0.9616683079244086
40|45,threshold,0.9904502802743524,0.12721910499082664,7.78538946918209,6.949877998159398e-15,0.7411054163469124,1.2397951442017925
45|50,threshold,1.1244956120569543,0.1290851113992475,8.711272739882451,3.0048171224863324e-18,0.8714934427740884,1.3774977813398201
50|55,threshold,1.350730503440687,0.1327954891192467,10.17150893000415,2.6575931298238226e-24,1.0904561274575828,1.611004879423791
55|60,threshold,1.5900036610477029,0.13777468624934583,11.540608106848454,8.234103547531906e-31,1.3199702380176792,1.8600370840777265
60|65,threshold,1.986127499471226,0.15020224974475935,13.223020979021808,6.461564363426864e-40,1.6917364995746071,2.2805184993678447
65|70,threshold,2.262730429688136,0.1632091072191396,13.863996122777547,1.0468037647458039e-43,1.9428464575896864,2.5826144017865857
70|75,threshold,2.7091073819959015,0.19224852103401216,14.091694268569237,4.2718825467045965e-45,2.3323072046881466,3.0859075593036565
75|80,threshold,3.0691121771951853,0.22662612537780172,13.54262299670331,8.760401012955611e-42,2.624933133498835,3.5132912208915354
80|85,threshold,3.332831632325405,0.26358586712734067,12.644197007403605,1.2044881417511699e-36,2.816212825922057,3.849450438728753
85|90,threshold,3.8814928046252457,0.3944709585976833,9.83974287593612,7.590457795389402e-23,3.108343932826796,4.6546416764236955
interface_conddashboard,location,0.8539801478081357,0.15503807265631803,5.50819636220068,3.6252889072434275e-8,0.5501111091692483,1.157849186447023
