item_key,y_ord,interface_cond,prob,SE,df,asymp.LCL,asymp.UCL,lower.CL,upper.CL
r1,1,chatbot,0.21811729367111002,0.0387384464876358,Inf,0.14219133373831172,0.2940432536039083,0.14219133373831172,0.2940432536039083
r1,2,chatbot,0.19447957334106408,0.024357308569218715,Inf,0.14674012578506657,0.2422190208970616,0.14674012578506657,0.2422190208970616
r1,3,chatbot,0.12816045768227297,0.018692569407844188,Inf,0.09152369486438316,0.16479722050016277,0.09152369486438316,0.16479722050016277
r1,4,chatbot,0.11466090732161525,0.01774926179865667,Inf,0.07987299344407556,0.14944882119915495,0.07987299344407556,0.14944882119915495
r1,5,chatbot,0.09777432657620966,0.016999636604083282,Inf,0.06445565108193764,0.1310930020704817,0.06445565108193764,0.1310930020704817
r1,6,chatbot,0.15796655817453237,0.02525150351167621,Inf,0.1084745207361603,0.20745859561290442,0.1084745207361603,0.20745859561290442
r1,7,chatbot,0.08884088323319572,0.02378786477504469,Inf,0.042217525004999146,0.1354642414613923,0.042217525004999146,0.1354642414613923
r1,1,dashboard,0.1819365273012803,0.03398111543979788,Inf,0.1153347648847785,0.24853828971778208,0.1153347648847785,0.24853828971778208
r1,2,dashboard,0.18193210983485852,0.02342876668965323,Inf,0.13601257092094649,0.22785164874877056,0.13601257092094649,0.22785164874877056
r1,3,dashboard,0.126124506583683,0.018516815070007485,Inf,0.0898322159380798,0.16241679722928618,0.0898322159380798,0.16241679722928618
r1,4,dashboard,0.11700344949471675,0.017952427501277547,Inf,0.08181733815714637,0.15218956083228713,0.08181733815714637,0.15218956083228713
r1,5,dashboard,0.10336036427799579,0.017432459452279246,Inf,0.06919337158957364,0.13752735696641794,0.06919337158957364,0.13752735696641794
r1,6,dashboard,0.17703737419327595,0.025265712062199068,Inf,0.12751748850760658,0.22655725987894532,0.12751748850760658,0.22655725987894532
r1,7,dashboard,0.11260566831418972,0.026632708927886425,Inf,0.060406518004793984,0.16480481862358545,0.060406518004793984,0.16480481862358545
r2,1,chatbot,0.18503643295563177,0.031128866572443542,Inf,0.12402497559408965,0.2460478903171739,0.12402497559408965,0.2460478903171739
r2,2,chatbot,0.1590128865353719,0.021722636701297187,Inf,0.11643730095158147,0.20158847211916234,0.11643730095158147,0.20158847211916234
r2,3,chatbot,0.10677820861406725,0.017133079193545172,Inf,0.07319799045044617,0.14035842677768834,0.07319799045044617,0.14035842677768834
r2,4,chatbot,0.13613670534528116,0.018594046091433985,Inf,0.0996930446791928,0.17258036601136953,0.0996930446791928,0.17258036601136953
r2,5,chatbot,0.17416532561779552,0.021153956974501054,Inf,0.13270433181726357,0.21562631941832747,0.13270433181726357,0.21562631941832747
r2,6,chatbot,0.15677645743938298,0.022847854106228034,Inf,0.11199548626715046,0.20155742861161552,0.11199548626715046,0.20155742861161552
r2,7,chatbot,0.08209398349246944,0.019777130464987976,Inf,0.04333152006354312,0.12085644692139574,0.04333152006354312,0.12085644692139574
r2,1,dashboard,0.15381385380182783,0.027139794941831243,Inf,0.10062083316803627,0.20700687443561938,0.10062083316803627,0.20700687443561938
r2,2,dashboard,0.14628701104366,0.02032831172727483,Inf,0.10644425219169812,0.18612976989562185,0.10644425219169812,0.18612976989562185
r2,3,dashboard,0.1026820496252972,0.016639004757649897,Inf,0.0700701995617128,0.1352938996888816,0.0700701995617128,0.1352938996888816
r2,4,dashboard,0.13572558297360598,0.018569596870403708,Inf,0.09932984190018702,0.17212132404702496,0.09932984190018702,0.17212132404702496
r2,5,dashboard,0.18229726750481376,0.021424867936320854,Inf,0.1403052979760979,0.22428923703352963,0.1403052979760979,0.22428923703352963
r2,6,dashboard,0.175937374580939,0.023397179390554346,Inf,0.13007974563562968,0.2217950035262483,0.13007974563562968,0.2217950035262483
r2,7,dashboard,0.10325686046985627,0.022292257671730577,Inf,0.05956483829917763,0.1469488826405349,0.05956483829917763,0.1469488826405349
r3,1,chatbot,0.035094885616373354,0.012581040765132556,Inf,0.010436498828683305,0.059753272404063404,0.010436498828683305,0.059753272404063404
r3,2,chatbot,0.05034157844271207,0.013475980477135255,Inf,0.023929142051162085,0.07675401483426206,0.023929142051162085,0.07675401483426206
r3,3,chatbot,0.055134278949774976,0.013245927066481587,Inf,0.02917273895762678,0.08109581894192316,0.02917273895762678,0.08109581894192316
r3,4,chatbot,0.10452066769852371,0.01875986359421932,Inf,0.06775201069896972,0.1412893246980777,0.06775201069896972,0.1412893246980777
r3,5,chatbot,0.2681292907044305,0.027144228705459506,Inf,0.21492758005361157,0.3213310013552494,0.21492758005361157,0.3213310013552494
r3,6,chatbot,0.2556747893597675,0.028002189173201852,Inf,0.20079150709201446,0.3105580716275206,0.20079150709201446,0.3105580716275206
r3,7,chatbot,0.23110450922841785,0.041352749495766394,Inf,0.15005460955500888,0.31215440890182683,0.15005460955500888,0.31215440890182683
r3,1,dashboard,0.08949339444189065,0.023596839455378892,Inf,0.04324443896037429,0.135742349923407,0.04324443896037429,0.135742349923407
r3,2,dashboard,0.09246407718302889,0.019105753127162648,Inf,0.0550174891562766,0.12991066520978117,0.0550174891562766,0.12991066520978117
r3,3,dashboard,0.0858438730821497,0.017262439317786246,Inf,0.05201011373398049,0.11967763243031893,0.05201011373398049,0.11967763243031893
r3,4,dashboard,0.13924364667250155,0.021322417557221873,Inf,0.09745247619702217,0.18103481714798092,0.09745247619702217,0.18103481714798092
r3,5,dashboard,0.2793469284996788,0.026972052706887743,Inf,0.22648267660506274,0.3322111803942948,0.22648267660506274,0.3322111803942948
r3,6,dashboard,0.19684188798991184,0.026624265723008005,Inf,0.1446592860579919,0.2490244899218318,0.1446592860579919,0.2490244899218318
r3,7,dashboard,0.1167661921308385,0.027124461689644476,Inf,0.06360322411909888,0.1699291601425781,0.06360322411909888,0.1699291601425781
