term,Estimate_logit,SE_robust,z,p,CI_low_logit,CI_high_logit,OR,OR_CI_low,OR_CI_high
Intercept,2.413594720821493,0.18514235656901606,13.036426485809422,7.593343777410248e-39,2.0507223699333488,2.776467071709637,11.174056649916006,7.773514431715851,16.06217407998969
"C(dl_ord, Treatment(reference='G1_lowest'))[T.G2]",-0.2983431050541833,0.2602016773527868,-1.1465840961881408,0.25155355251131406,-0.8083290213825569,0.21164281127419032,0.7420466960936403,0.4456020359450381,1.2357064258373456
"C(dl_ord, Treatment(reference='G1_lowest'))[T.G3]",-0.3933443412929885,0.18456928302471098,-2.131147365622728,0.03307700361465876,-0.755093488673802,-0.031595193912175024,0.6747963473291838,0.4699666761154074,0.9688987188040337
"C(dl_ord, Treatment(reference='G1_lowest'))[T.G4]",-0.17775866240777852,0.2821816430657549,-0.6299441043596044,0.5287311554897368,-0.7308245199149948,0.3753071950994378,0.8371444335334093,0.4815118102944851,1.4554384495104447
"C(dl_ord, Treatment(reference='G1_lowest'))[T.G5_highest]",-0.10843022953821005,0.21855279840277142,-0.49612830551994924,0.6198038898320533,-0.5367858431280851,0.31992538405166493,0.8972414935865177,0.5846243100306602,1.377025012475354
"C(task_code, Treatment(reference='T1'))[T.T2]",-0.371015504264679,0.20572066935674616,-1.8034916249533015,0.07131103956103603,-0.7742206070793742,0.032189598550016185,0.6900332430178157,0.46106299022876374,1.032713287686432
"C(task_code, Treatment(reference='T1'))[T.T3]",-2.1789953434753,0.17415848095433953,-12.511566083575248,6.45391118884715e-36,-2.5203396937480105,-1.8376509932025897,0.11315515561925087,0.08043227976581777,0.1591909278276902
iface_dash,-0.32333527335531226,0.1924002150739098,-1.6805348852188353,0.09285329278144332,-0.7004327655179359,0.05376221880731136,0.7237311659103631,0.4963704452902435,1.0552336576036447
"iface_dash:C(dl_ord, Treatment(reference='G1_lowest'))[T.G2]",0.5268317744323309,0.44643344069882407,1.1800903032883365,0.23796430083672893,-0.34816169083166226,1.401825239696324,1.6935582254896966,0.7059847157294541,4.062608437861609
"iface_dash:C(dl_ord, Treatment(reference='G1_lowest'))[T.G3]",0.2637773708746153,0.33013106694860234,0.7990080222158626,0.42428576035180743,-0.38326763052242674,0.9108223722716573,1.301838336906182,0.6816304497591774,2.4863664116493425
"iface_dash:C(dl_ord, Treatment(reference='G1_lowest'))[T.G4]",-0.13789295702772097,0.3816102496521468,-0.3613450035826239,0.7178415551304599,-0.8858353024772674,0.6100493884218254,0.8711919417296998,0.4123695760492025,1.8405222970285433
"iface_dash:C(dl_ord, Treatment(reference='G1_lowest'))[T.G5_highest]",0.12859086294165,0.313195975234746,0.41057635828579486,0.6813832022183904,-0.48526196862135085,0.7424436945046509,1.1372247481827886,0.6155359245435321,2.101063603783118
