interface_cond,dl_ord,n_rows,mean,std,median,iqr
chatbot,G1_lowest,51,0.7888363605694949,0.2396685873094959,0.886168646468886,0.377825289056661
chatbot,G2,42,0.7433966089569256,0.29563348309356197,0.936879919601458,0.465728021978022
chatbot,G3,42,0.727785919786097,0.27978046959983294,0.859314763291036,0.45957330407247565
chatbot,G4,21,0.7622880580985548,0.274904284761386,0.859314763291036,0.49102564102564095
chatbot,G5_highest,30,0.7728113802126304,0.25483549119316895,0.898097341446247,0.4727583447269623
dashboard,G1_lowest,54,0.738184390772897,0.25026150980434214,0.8645128946630145,0.4066012971550884
dashboard,G2,33,0.7711426562314152,0.22814765246910806,0.849808158467671,0.14305121820366706
dashboard,G3,33,0.718035341181307,0.28145706109199997,0.81858592401718,0.446335593494116
dashboard,G4,45,0.6844254530302288,0.29004536367106065,0.746428571428571,0.43147698919852795
dashboard,G5_highest,42,0.7418617767373208,0.27093179690372776,0.886168646468886,0.4105619198657112
