interface,dl_ord,pred_accuracy,CI_low_boot,CI_high_boot
chatbot,G1_lowest,0.7871453586776079,0.7489429511484457,0.8261085268064435
dashboard,G1_lowest,0.7386049448392781,0.6921500919347296,0.7807645577649164
chatbot,G2,0.7425568448572358,0.672679141444565,0.8075168705146734
dashboard,G2,0.7734995095594762,0.6655227988360989,0.8609911005032233
chatbot,G3,0.7273638005829223,0.6894268278324064,0.7716851191437134
dashboard,G3,0.7176061732678832,0.6429368199012829,0.7884843829543463
chatbot,G4,0.7611619828804618,0.6777038720334159,0.8254733815621357
dashboard,G4,0.6860139104900163,0.593658960529572,0.7619217568004134
chatbot,G5_highest,0.771504102605079,0.7190804381916216,0.8299798547443437
dashboard,G5_highest,0.7417953857360744,0.6864546138106367,0.7912968552864854
