item_key,y_ord,interface_cond,task_complexity,prob,SE,df,asymp.LCL,asymp.UCL,lower.CL,upper.CL
r1,1,chatbot,easy,0.030474921747711377,0.014878351526456479,Inf,0.0013138886065301482,0.0596359548888926,0.0013138886065301482,0.0596359548888926
r1,2,chatbot,easy,0.08942436987171198,0.02757169130043813,Inf,0.03538484792999693,0.14346389181342703,0.03538484792999693,0.14346389181342703
r1,3,chatbot,easy,0.10137735708888129,0.023546536987149314,Inf,0.055226992633428375,0.14752772154433422,0.055226992633428375,0.14752772154433422
r1,4,chatbot,easy,0.12463354952669403,0.023279170820292672,Inf,0.07900721312896467,0.1702598859244234,0.07900721312896467,0.1702598859244234
r1,5,chatbot,easy,0.13581631414205309,0.023125008909241823,Inf,0.09049212953777125,0.18114049874633492,0.09049212953777125,0.18114049874633492
r1,6,chatbot,easy,0.29098789476855835,0.03768859497681933,Inf,0.21711960598607527,0.36485618355104144,0.21711960598607527,0.36485618355104144
r1,7,chatbot,easy,0.22728559285438987,0.05960034259173286,Inf,0.11047106790834488,0.34410011780043487,0.11047106790834488,0.34410011780043487
r1,1,dashboard,easy,0.03134431692986988,0.014462992388234607,Inf,0.002997372740253114,0.059691261119486645,0.002997372740253114,0.059691261119486645
r1,2,dashboard,easy,0.09106542251535082,0.02654145550952803,Inf,0.03904512561940371,0.14308571941129794,0.03904512561940371,0.14308571941129794
r1,3,dashboard,easy,0.10258785480982296,0.022820794258449538,Inf,0.05785991996466343,0.1473157896549825,0.05785991996466343,0.1473157896549825
r1,4,dashboard,easy,0.12552120893668023,0.022893910443564747,Inf,0.08064996900200792,0.17039244887135252,0.08064996900200792,0.17039244887135252
r1,5,dashboard,easy,0.13617686667828804,0.023078498915750895,Inf,0.09094383998616962,0.18140989337040647,0.09094383998616962,0.18140989337040647
r1,6,dashboard,easy,0.28976119598567235,0.037142150559252594,Inf,0.21696391858117306,0.36255847339017166,0.21696391858117306,0.36255847339017166
r1,7,dashboard,easy,0.2235431341443157,0.05635409939874983,Inf,0.11309112894157575,0.33399513934705566,0.11309112894157575,0.33399513934705566
r1,1,chatbot,mid,0.2000982425979212,0.05501882034670333,Inf,0.09226333624650317,0.3079331489493392,0.09226333624650317,0.3079331489493392
r1,2,chatbot,mid,0.24308569718253903,0.03460316496176265,Inf,0.17526474010638593,0.31090665425869213,0.17526474010638593,0.31090665425869213
r1,3,chatbot,mid,0.16119578617539698,0.02358310018641917,Inf,0.11497375916621558,0.2074178131845784,0.11497375916621558,0.2074178131845784
r1,4,chatbot,mid,0.13329818327111287,0.023121816602661754,Inf,0.08798025547275556,0.17861611106947017,0.08798025547275556,0.17861611106947017
r1,5,chatbot,mid,0.10044387153461942,0.02230130801157833,Inf,0.056734111023791334,0.1441536320454475,0.056734111023791334,0.1441536320454475
