item_key,task_complexity,interface_cond,mean.class,SE,df,asymp.LCL,asymp.UCL,lower.CL,upper.CL
r1,easy,chatbot,5.0279980201669,0.3092389743247879,Inf,4.4219007678742095,5.634095272459591,4.4219007678742095,5.634095272459591
r1,mid,chatbot,3.214043278070078,0.3218265053377244,Inf,2.5832749183377506,3.844811637802405,2.5832749183377506,3.844811637802405
r1,hard,chatbot,2.243176932810421,0.257379833014441,Inf,1.7387217297551836,2.7476321358656586,1.7387217297551836,2.7476321358656586
r1,easy,dashboard,5.0075770104524455,0.2927037776722397,Inf,4.433888148076036,5.581265872828855,4.433888148076036,5.581265872828855
r1,mid,dashboard,4.075610829215911,0.3148888886438209,Inf,3.458439948342179,4.692781710089644,3.458439948342179,4.692781710089644
r1,hard,dashboard,2.2193357375733447,0.2379340496078477,Inf,1.7529935696461967,2.6856779055004925,1.7529935696461967,2.6856779055004925
r2,easy,chatbot,2.3295273224851467,0.23544606473965313,Inf,1.8680615152937408,2.7909931296765524,1.8680615152937408,2.7909931296765524
r2,mid,chatbot,3.839938673650923,0.2827244426370942,Inf,3.285808948533058,4.394068398768788,3.285808948533058,4.394068398768788
r2,hard,chatbot,5.091099300675119,0.24991077823133373,Inf,4.601283175993329,5.58091542535691,4.601283175993329,5.58091542535691
r2,easy,dashboard,2.9030503391362092,0.2543569968793514,Inf,2.4045197860369134,3.401580892235505,2.4045197860369134,3.401580892235505
r2,mid,dashboard,4.099814791420311,0.26523592830041814,Inf,3.5799619245454433,4.619667658295178,3.5799619245454433,4.619667658295178
r2,hard,dashboard,4.972659286316031,0.24323386583107728,Inf,4.495929669466672,5.4493889031653895,4.495929669466672,5.4493889031653895
r3,easy,chatbot,4.296389055699663,0.28691251075572644,Inf,3.734050867904479,4.858727243494847,3.734050867904479,4.858727243494847
r3,mid,chatbot,5.334342485971485,0.2376008006923743,Inf,4.8686534739165515,5.800031498026418,4.8686534739165515,5.800031498026418
r3,hard,chatbot,6.002569844348597,0.1870323720596166,Inf,5.635993131168653,6.36914655752854,5.635993131168653,6.36914655752854
r3,easy,dashboard,3.594725432975589,0.2837192351655365,Inf,3.0386459503298875,4.150804915621291,3.0386459503298875,4.150804915621291
r3,mid,dashboard,4.383653936571758,0.26916583737772576,Inf,3.8560985894428503,4.911209283700665,3.8560985894428503,4.911209283700665
r3,hard,dashboard,5.475674392749753,0.21606956963953558,Inf,5.0521858181011945,5.899162967398312,5.0521858181011945,5.899162967398312
