term,component,Estimate,Std. Error,z value,Pr(>|z|),estimate,SE,z.ratio,p.value,p.value.raw,conf.low,conf.high,lower.CL,upper.CL
0|5,threshold,-1.1918434095854586,0.29082148895100884,-4.098195817250059,4.1638296545414415e-5,-1.1918434095854586,0.29082148895100884,-4.098195817250059,4.1638296545414415e-5,4.1638296545414415e-5,-1.7618430538597492,-0.6218437653111681,-1.7618430538597492,-0.6218437653111681
5|10,threshold,-0.3746837813432297,0.27720748321689326,-1.3516366044493426,0.1764915944841401,-0.3746837813432297,0.27720748321689326,-1.3516366044493426,0.1764915944841401,0.1764915944841401,-0.918000464693332,0.16863290200687248,-0.918000464693332,0.16863290200687248
10|15,threshold,0.14609923132747243,0.27519506391769943,0.5308933570522372,0.5954926813772938,0.14609923132747243,0.27519506391769943,0.5308933570522372,0.5954926813772938,0.5954926813772938,-0.3932731826744165,0.6854716453293614,-0.3932731826744165,0.6854716453293614
15|20,threshold,0.5868819382467896,0.27623639066327216,2.124564170700411,0.033622996196675164,0.5868819382467896,0.27623639066327216,2.124564170700411,0.033622996196675164,0.033622996196675164,0.045468561327439816,1.1282953151661395,0.045468561327439816,1.1282953151661395
20|25,threshold,0.9863918968592984,0.27933565865433185,3.53120651194742,4.136686430114071e-4,0.9863918968592984,0.27933565865433185,3.53120651194742,4.136686430114071e-4,4.136686430114071e-4,0.4389040662990338,1.533879727419563,0.4389040662990338,1.533879727419563
25|30,threshold,1.2606200629948854,0.28244715225235617,4.463206843978259,8.074204059368484e-6,1.2606200629948854,0.28244715225235617,4.463206843978259,8.074204059368484e-6,8.074204059368484e-6,0.7070338170443662,1.8142063089454046,0.7070338170443662,1.8142063089454046
30|35,threshold,1.5114058744621688,0.2856284189004786,5.291510838733409,1.2130999953460854e-7,1.5114058744621688,0.2856284189004786,5.291510838733409,1.2130999953460854e-7,1.2130999953460854e-7,0.9515844604561112,2.0712272884682266,0.9515844604561112,2.0712272884682266
35|40,threshold,1.7300501075304762,0.2887468231660766,5.991581443427396,2.0781020816267324e-9,1.7300501075304762,0.2887468231660766,5.991581443427396,2.0781020816267324e-9,2.0781020816267324e-9,1.1641167334746103,2.295983481586342,1.1641167334746103,2.295983481586342
40|45,threshold,2.0915455239319263,0.293982950692207,7.114512998142276,1.1230868519851804e-12,2.0915455239319263,0.293982950692207,7.114512998142276,1.1230868519851804e-12,1.1230868519851804e-12,1.5153495285063863,2.6677415193574663,1.5153495285063863,2.6677415193574663
45|50,threshold,2.266417225795319,0.29630630533761493,7.648899753290556,2.027061830688303e-14,2.266417225795319,0.29630630533761493,7.648899753290556,2.027061830688303e-14,2.027061830688303e-14,1.6856675389414655,2.8471669126491728,1.6856675389414655,2.8471669126491728
