y_ord,interface_cond,task_complexity,prob,SE,df,asymp.LCL,asymp.UCL,lower.CL,upper.CL,p.value.raw,p.value
1,chatbot,easy,0.15795708073118842,0.05387781979661835,Inf,0.052358494364277336,0.2635556670980995,0.052358494364277336,0.2635556670980995,NA,NA
2,chatbot,easy,0.293488926726785,0.05157771393949706,Inf,0.19239846500046126,0.39457938845310875,0.19239846500046126,0.39457938845310875,NA,NA
3,chatbot,easy,0.21261732609478332,0.03492791801805096,Inf,0.14415986472443582,0.2810747874651308,0.14415986472443582,0.2810747874651308,NA,NA
4,chatbot,easy,0.14569833866749016,0.029504368187242627,Inf,0.0878708396338853,0.203525837701095,0.0878708396338853,0.203525837701095,NA,NA
5,chatbot,easy,0.0907202705160734,0.023953302482740777,Inf,0.04377266033910763,0.13766788069303917,0.04377266033910763,0.13766788069303917,NA,NA
6,chatbot,easy,0.040593351470049,0.013939619941996266,Inf,0.013272198425560006,0.067914504514538,0.013272198425560006,0.067914504514538,NA,NA
7,chatbot,easy,0.024448400130412384,0.009737424037654556,Inf,0.005363399714414862,0.0435334005464099,0.005363399714414862,0.0435334005464099,NA,NA
8,chatbot,easy,0.013750455943484452,0.006257093374769346,Inf,0.0014867782810323547,0.02601413360593655,0.0014867782810323547,0.02601413360593655,NA,NA
9,chatbot,easy,0.012569387817982891,0.006254197295452203,Inf,3.113863666887647e-4,0.024827389269277016,3.113863666887647e-4,0.024827389269277016,NA,NA
10,chatbot,easy,0.0031985999302147072,0.0019100140945329442,Inf,-5.449589050337449e-4,0.006942158765463159,-5.449589050337449e-4,0.006942158765463159,NA,NA
11,chatbot,easy,0.0029212735467663564,0.0018514947205019842,Inf,-7.075894229835854e-4,0.006550136516516298,-7.075894229835854e-4,0.006550136516516298,NA,NA
12,chatbot,easy,0.0012990439810757204,9.281860132572979e-4,Inf,-5.201671758624004e-4,0.003118255138013841,-5.201671758624004e-4,0.003118255138013841,NA,NA
13,chatbot,easy,6.227431310785181e-4,5.033420041715435e-4,Inf,-3.637890690039165e-4,0.0016092753311609527,-3.637890690039165e-4,0.0016092753311609527,NA,NA
14,chatbot,easy,8.543687825196544e-5,8.347079236067463e-5,Inf,-7.816286853597787e-5,2.490366250399087e-4,-7.816286853597787e-5,2.490366250399087e-4,NA,NA
15,chatbot,easy,2.6657704443489028e-5,2.9748526754730882e-5,Inf,-3.1648336588909704e-5,8.496374547588776e-5,-3.1648336588909704e-5,8.496374547588776e-5,NA,NA
16,chatbot,easy,2.3978448903116956e-6,3.3150038748333816e-6,Inf,-4.099443312972456e-6,8.895133093595847e-6,-4.099443312972456e-6,8.895133093595847e-6,NA,NA
17,chatbot,easy,2.519870207495778e-7,4.267115119190648e-7,Inf,-5.843521744004231e-7,1.0883262158995788e-6,-5.843521744004231e-7,1.0883262158995788e-6,NA,NA
18,chatbot,easy,5.5440045498844626e-8,1.1031728140755269e-7,Inf,-1.6077785293232872e-7,2.7165794393001797e-7,-1.6077785293232872e-7,2.7165794393001797e-7,NA,NA
19,chatbot,easy,1.4579637497291742e-9,4.347809631576483e-9,Inf,-7.063586539797092e-9,9.97951403925544e-9,-7.063586539797092e-9,9.97951403925544e-9,NA,NA
1,dashboard,easy,0.003059523703587757,0.0023823343439893074,Inf,-0.0016097658097641407,0.007728813216939655,-0.0016097658097641407,0.007728813216939655,NA,NA
2,dashboard,easy,0.02838163096417752,0.013264408880557878,Inf,0.00238386728207083,0.05437939464628421,0.00238386728207083,0.05437939464628421,NA,NA
3,dashboard,easy,0.06295050391555196,0.020932354299159666,Inf,0.021923843377566858,0.10397716445353705,0.021923843377566858,0.10397716445353705,NA,NA
4,dashboard,easy,0.10035045597646639,0.025145557692400643,Inf,0.05106606852818703,0.14963484342474576,0.05106606852818703,0.14963484342474576,NA,NA
5,dashboard,easy,0.13049396621873283,0.025678343335664273,Inf,0.08016533809817675,0.1808225943392889,0.08016533809817675,0.1808225943392889,NA,NA
6,dashboard,easy,0.10591676703274003,0.021155966860309298,Inf,0.06445183392841089,0.14738170013706917,0.06445183392841089,0.14738170013706917,NA,NA
7,dashboard,easy,0.10133131925559108,0.019983905523284592,Inf,0.062163584159502225,0.14049905435167992,0.062163584159502225,0.14049905435167992,NA,NA
8,dashboard,easy,0.08612978755356043,0.018433053479248333,Inf,0.05000166660913297,0.1222579084979879,0.05000166660913297,0.1222579084979879,NA,NA
9,dashboard,easy,0.1282998449721865,0.023513559328600338,Inf,0.08221411553978403,0.17438557440458896,0.08221411553978403,0.17438557440458896,NA,NA
10,dashboard,easy,0.053129520422773385,0.01482739160189385,Inf,0.024068366898389787,0.08219067394715698,0.024068366898389787,0.08219067394715698,NA,NA
11,dashboard,easy,0.07188141850806229,0.01891457276712441,Inf,0.03480953710153634,0.10895329991458824,0.03480953710153634,0.10895329991458824,NA,NA
12,dashboard,easy,0.053524187423639236,0.016613892592505345,Inf,0.020961556299311977,0.08608681854796649,0.020961556299311977,0.08608681854796649,NA,NA
13,dashboard,easy,0.04879965081924381,0.017443624236407763,Inf,0.0146107755560346,0.08298852608245302,0.0146107755560346,0.08298852608245302,NA,NA
14,dashboard,easy,0.014482423091473684,0.006991668611896608,Inf,7.790044203171819e-4,0.028185841762630184,7.790044203171819e-4,0.028185841762630184,NA,NA
15,dashboard,easy,0.008803146268816231,0.004932917146520775,Inf,-8.651936770845779e-4,0.018471486214717038,-8.651936770845779e-4,0.018471486214717038,NA,NA
16,dashboard,easy,0.001886731796263752,0.0014339708962656395,Inf,-9.237995152955227e-4,0.004697263107823027,-9.237995152955227e-4,0.004697263107823027,NA,NA
17,dashboard,easy,3.982893866303905e-4,4.0603188309892927e-4,Inf,-3.9751848081848813e-4,0.0011940972540792692,-3.9751848081848813e-4,0.0011940972540792692,NA,NA
18,dashboard,easy,1.6746499693442995e-4,2.0480863833317742e-4,Inf,-2.3395255792128724e-4,5.688825517901471e-4,-2.3395255792128724e-4,5.688825517901471e-4,NA,NA
19,dashboard,easy,1.3367693568300254e-5,2.698894332476832e-5,Inf,-3.9529663329038345e-5,6.626505046563886e-5,-3.9529663329038345e-5,6.626505046563886e-5,NA,NA
1,chatbot,mid,0.030374922994550285,0.01661096258047421,Inf,-0.002181965411721682,0.06293181140082225,-0.002181965411721682,0.06293181140082225,NA,NA
2,chatbot,mid,0.12968226661202492,0.03896386484975863,Inf,0.053314494808011856,0.20605003841603797,0.053314494808011856,0.20605003841603797,NA,NA
3,chatbot,mid,0.16683285472350795,0.034144971497035805,Inf,0.0999099403361711,0.2337557691108448,0.0999099403361711,0.2337557691108448,NA,NA
4,chatbot,mid,0.17511030348126083,0.028370852946938446,Inf,0.11950445349457943,0.23071615346794222,0.11950445349457943,0.23071615346794222,NA,NA
5,chatbot,mid,0.15796689856716073,0.02604641688731461,Inf,0.10691685954170824,0.20901693759261322,0.10691685954170824,0.20901693759261322,NA,NA
