industry_role,interface_cond,task_complexity,n,mean,sd,median,iqr
Junior Management,chatbot,easy,11,14.09090909090909,16.928996104049084,7.5,14.583333333333332
Junior Management,chatbot,mid,11,17.5,16.74979270186815,14.166666666666666,22.499999999999996
Junior Management,chatbot,hard,11,42.34848484848485,27.243292196373215,35.833333333333336,42.50000000000001
Junior Management,dashboard,easy,10,27,21.431055117674216,20,21.25
Junior Management,dashboard,mid,10,32.916666666666664,18.65149019300477,27.5,18.125000000000004
Junior Management,dashboard,hard,10,48.833333333333336,15.174906186786718,50.83333333333333,18.54166666666667
Middle Management,chatbot,easy,42,14.146825396825397,14.349593838664,10.833333333333332,16.458333333333336
Middle Management,chatbot,mid,42,24.66269841269841,19.173345888002256,19.583333333333336,25
Middle Management,chatbot,hard,42,40.07936507936508,21.657134804353205,40,34.16666666666667
Middle Management,dashboard,easy,43,37.46124031007752,23.238151592377008,36.666666666666664,40.833333333333336
Middle Management,dashboard,mid,43,34.34108527131783,15.732298925521777,33.333333333333336,23.75
Middle Management,dashboard,hard,43,51.82170542635659,16.1120577998616,54.166666666666664,18.333333333333336
Upper Management,chatbot,easy,11,11.742424242424242,11.398431577381267,8.333333333333334,12.916666666666664
Upper Management,chatbot,mid,11,20.53030303030303,16.533941215608944,15,28.75
Upper Management,chatbot,hard,11,36.74242424242424,23.411934710072273,45.833333333333336,35.41666666666667
Upper Management,dashboard,easy,17,28.333333333333332,21.658652363945045,23.333333333333332,27.5
Upper Management,dashboard,mid,17,34.705882352941174,21.304955850478773,29.166666666666668,20.833333333333336
Upper Management,dashboard,hard,17,51.3235294117647,19.790699150758087,49.166666666666664,22.5
