industry_role,interface_cond,task_code,n,mean,std,median,iqr,task_label
Junior Management,dashboard,T1,10,0.9302283023457522,0.06081476681826402,0.8922311603799136,0.11383135353111395,easy
Junior Management,dashboard,T2,10,0.807245622070495,0.2606987641747883,0.9079859857582966,0.3129250810700578,mid
Junior Management,dashboard,T3,10,0.446025641025641,0.1576978985308453,0.47358058608058606,0.18507326007325997,hard
Junior Management,chatbot,T1,11,0.9268749484580958,0.1269430555110052,1.0,0.12725829512003894,easy
Junior Management,chatbot,T2,11,0.9006507227109869,0.07706282775181451,0.942246901550693,0.03291917030508751,mid
Junior Management,chatbot,T3,10,0.44619047619047614,0.22850133091772848,0.3751373626373625,0.3697344322344322,hard
Middle Management,dashboard,T1,42,0.8167843262455211,0.23525827641414088,0.886168646468886,0.184368779110896,easy
Middle Management,dashboard,T2,43,0.8252717019065843,0.24360925829279656,0.936879919601458,0.21319517291200452,mid
Middle Management,dashboard,T3,43,0.5235433171479683,0.21088113778133946,0.522069597069597,0.29304029304029344,hard
Middle Management,chatbot,T1,42,0.9653344557852138,0.09135266559938804,1.0,0.0,easy
Middle Management,chatbot,T2,42,0.8532635353710861,0.22666216127319258,0.942246901550693,0.16762928949563993,mid
Middle Management,chatbot,T3,41,0.47256544268739387,0.17209469063537655,0.451282051282051,0.24047619047619095,hard
Upper Management,dashboard,T1,17,0.9132437400787464,0.10260931995463518,0.886168646468886,0.11383135353111395,easy
Upper Management,dashboard,T2,17,0.8434359787118257,0.20276127314372946,0.942246901550693,0.13171145045736599,mid
Upper Management,dashboard,T3,17,0.4815287653522947,0.16971423227937132,0.435714285714286,0.242307692307693,hard
Upper Management,chatbot,T1,11,0.818328515603514,0.2986120841936843,0.859314763291036,0.15392105746575702,easy
Upper Management,chatbot,T2,11,0.8776356481916139,0.13135203111456303,0.942246901550693,0.2160997206165356,mid
Upper Management,chatbot,T3,11,0.48681318681318686,0.14840618768645492,0.508974358974359,0.2472069597069595,hard
