industry_role,interface_cond,complexity,n,mean,std,median,iqr
Junior Management,dashboard,easy,10,120.4675,50.48232514730059,116.31450000000001,64.93175000000001
Junior Management,dashboard,mid,10,167.6672,47.85266960810255,167.8395,46.27649999999997
Junior Management,dashboard,hard,10,314.8881,144.03079590486504,292.926,179.36699999999996
Junior Management,chatbot,easy,11,82.71345454545454,48.62053354574307,59.891,83.646
Junior Management,chatbot,mid,11,166.34954545454545,79.02912003352138,149.385,100.3495
Junior Management,chatbot,hard,11,362.9361818181818,238.77755917121618,344.481,460.951
Middle Management,dashboard,easy,43,126.63137209302326,51.094590993672035,136.379,81.33850000000001
Middle Management,dashboard,mid,43,189.3210465116279,89.37372628781468,184.685,150.60699999999997
Middle Management,dashboard,hard,43,363.90265116279073,156.27932194523092,340.835,262.50550000000004
Middle Management,chatbot,easy,42,77.84995238095237,38.34309641042493,71.81,62.459500000000006
Middle Management,chatbot,mid,42,215.2679285714286,96.17301295579118,212.8875,125.673
Middle Management,chatbot,hard,42,378.2234285714286,179.2232489422664,338.3995,323.9702500000001
Upper Management,dashboard,easy,17,95.45735294117648,42.16789113908409,75.428,54.2
Upper Management,dashboard,mid,17,166.06229411764707,68.33496882706238,157.871,56.59
Upper Management,dashboard,hard,17,289.7425882352941,152.03221123007899,253.498,153.62000000000003
Upper Management,chatbot,easy,11,92.28054545454546,47.622935067808726,85.456,73.89400000000002
Upper Management,chatbot,mid,11,225.0029090909091,87.25549957390027,222.874,135.22299999999998
Upper Management,chatbot,hard,11,403.6536363636364,150.87535497971345,451.618,167.9844999999999
