family,label,diff_time,diff_time_CI_low_boot,diff_time_CI_high_boot,ratio_time,ratio_time_CI_low_boot,ratio_time_CI_high_boot,log_effect,TR_or_ratioTR,p_value,p_value_holm,holm_reject
simple_interface,chatbot/dashboard@easy,-36.78206310295154,-52.267029975329805,-21.5652541617729,0.6886425067361523,0.5848375989811543,0.8016082664798513,-0.3730330007697658,0.6886425067361526,5.781950493697399e-06,1.73458514810922e-05,True
simple_interface,chatbot/dashboard@mid,27.4236809413797,-1.690827405064747,55.95321012807317,1.1517758343568845,0.9916639360131073,1.331085265460977,0.14130495510708202,1.1517758343568845,0.06242119002791713,0.12484238005583426,False
simple_interface,chatbot/dashboard@hard,41.394787456375866,-14.363227448276216,97.03213052716508,1.1222288037040709,0.9604598818227448,1.3118336963456252,0.11531671118059272,1.1222288037040706,0.1532578686123737,0.1532578686123737,False
did,[chatbot/dashboard]@hard / [chatbot/dashboard]@easy,78.1768505593274,25.862696322007405,134.83927384440514,1.6296246495484537,1.3481211425778,1.990249524163114,0.48834971195035853,1.6296246495484525,6.125971198944627e-07,1.2251942397889253e-06,True
did,[chatbot/dashboard]@mid / [chatbot/dashboard]@easy,64.20574404433124,37.540602937027785,90.7076770349784,1.6725308459621093,1.4118936424624255,1.971929661433343,0.5143379558768478,1.6725308459621087,7.801656533774761e-10,2.3404969601324283e-09,True
did,[chatbot/dashboard]@hard / [chatbot/dashboard]@mid,13.971106514996166,-36.376316896847335,71.59733163521531,0.9743465440310165,0.8221787244513928,1.1717287405683814,-0.025988243926489296,0.9743465440310162,0.7664691592815194,0.7664691592815194,False
complexity_within_interface,dashboard | mid_vs_easy,62.550919497629124,44.134963112925455,81.56472573787636,1.5294889914581147,1.3589439368162737,1.717661440355398,0.42493368710538676,1.5294889914581142,1.7083001265802688e-12,1.7083001265802688e-12,True
complexity_within_interface,dashboard | hard_vs_easy,220.53188374684066,183.20937244987005,259.73734413316555,2.8667863821554014,2.4765499472138037,3.3024822270038894,1.0531916749363783,2.8667863821554036,1.6446111705942734e-47,4.933833511782821e-47,True
complexity_within_interface,dashboard | hard_vs_mid,157.98096424921155,122.10642017025387,194.96737211855515,1.874342606037586,1.648916038818012,2.1252262680923364,0.6282579878309915,1.8743426060375878,2.74256952488262e-24,5.48513904976524e-24,True
complexity_within_interface,chatbot | mid_vs_easy,126.75666354196036,108.01628604907386,145.42233290800093,2.558117516773174,2.2924237845376942,2.88067962687106,0.9392716429822345,2.558117516773172,7.113354601853318e-59,1.4226709203706635e-58,True
complexity_within_interface,chatbot | hard_vs_easy,298.7087343061681,256.6385945737501,339.45206166877813,4.671785753350275,4.11504762306677,5.310450981807107,1.541541386886737,4.671785753350276,2.845753934240486e-122,8.537261802721459e-122,True
complexity_within_interface,chatbot | hard_vs_mid,171.95207076420772,131.43551994050463,212.4764164646496,1.826259240522811,1.6201545547674452,2.0550513359755556,0.6022697439045022,1.826259240522812,2.483806070877216e-22,2.483806070877216e-22,True
