term,symbolic_label,parameter_meaning,component,Estimate,Std. Error,z value,Pr(>|z|),estimate,SE,z.ratio,p.value,p.value.raw,conf.low,conf.high,lower.CL,upper.CL
0|5,NA,NA,threshold,-1.357786084267697,0.3579873314023149,-3.7928327769280297,1.489384584580579e-4,-1.357786084267697,0.3579873314023149,-3.7928327769280297,1.489384584580579e-4,1.489384584580579e-4,-2.0594283607378387,-0.6561438077975552,-2.0594283607378387,-0.6561438077975552
5|10,NA,NA,threshold,-0.5389126965245328,0.3474805433980572,-1.5509147397273984,0.12092211760694771,-0.5389126965245328,0.3474805433980572,-1.5509147397273984,0.12092211760694771,0.12092211760694771,-1.2199620469131318,0.14213665386406638,-1.2199620469131318,0.14213665386406638
10|15,NA,NA,threshold,-0.017443701161409305,0.34617686570216194,-0.050389563514094654,0.9598119529317857,-0.017443701161409305,0.34617686570216194,-0.050389563514094654,0.9598119529317857,0.9598119529317857,-0.6959378902186056,0.6610504878957871,-0.6959378902186056,0.6610504878957871
15|20,NA,NA,threshold,0.4228599272460336,0.3470080343551599,1.2185882901294438,0.22300049572592612,0.4228599272460336,0.3470080343551599,1.2185882901294438,0.22300049572592612,0.22300049572592612,-0.2572633224361175,1.1029831769281846,-0.2572633224361175,1.1029831769281846
20|25,NA,NA,threshold,0.8222834666299587,0.3492180658225784,2.354641833013653,0.01854056665473977,0.8222834666299587,0.3492180658225784,2.354641833013653,0.01854056665473977,0.01854056665473977,0.13782863486696717,1.5067382983929503,0.13782863486696717,1.5067382983929503
25|30,NA,NA,threshold,1.0964051148034304,0.351481979218489,3.1193778902726637,0.0018123336300406867,1.0964051148034304,0.351481979218489,3.1193778902726637,0.0018123336300406867,0.0018123336300406867,0.40751309432033633,1.7852971352865246,0.40751309432033633,1.7852971352865246
30|35,NA,NA,threshold,1.347045614390015,0.3536688754120594,3.8087762538350964,1.396562581001223e-4,1.347045614390015,0.3536688754120594,3.8087762538350964,1.396562581001223e-4,1.396562581001223e-4,0.6538673561295952,2.0402238726504347,0.6538673561295952,2.0402238726504347
35|40,NA,NA,threshold,1.56586457635327,0.3557379037027692,4.40173667201233,1.0738784233431998e-5,1.56586457635327,0.3557379037027692,4.40173667201233,1.0738784233431998e-5,1.0738784233431998e-5,0.8686310971600645,2.2630980555464753,0.8686310971600645,2.2630980555464753
40|45,NA,NA,threshold,1.9273995678845914,0.3593137114773855,5.3641136041252855,8.134769594167444e-8,1.9273995678845914,0.3593137114773855,5.3641136041252855,8.134769594167444e-8,8.134769594167444e-8,1.2231576342375,2.631641501531683,1.2231576342375,2.631641501531683
45|50,NA,NA,threshold,2.1021185429074185,0.3609367787809145,5.824063011831183,5.743390530282896e-9,2.1021185429074185,0.3609367787809145,5.824063011831183,5.743390530282896e-9,5.743390530282896e-9,1.3946954558009255,2.8095416300139116,1.3946954558009255,2.8095416300139116
50|55,NA,NA,threshold,2.389625679055662,0.36363808341138176,6.571439538559804,4.983112064289367e-11,2.389625679055662,0.36363808341138176,6.571439538559804,4.983112064289367e-11,4.983112064289367e-11,1.6769081321621817,3.1023432259491424,1.6769081321621817,3.1023432259491424
55|60,NA,NA,threshold,2.6898420070102818,0.36688535256149124,7.331560086088351,2.2748878691188774e-13,2.6898420070102818,0.36688535256149124,7.331560086088351,2.2748878691188774e-13,2.2748878691188774e-13,1.9707599295344789,3.4089240844860846,1.9707599295344789,3.4089240844860846
60|65,NA,NA,threshold,3.1790684599135224,0.3744262107801644,8.490507257196366,2.0573710785869457e-17,3.1790684599135224,0.3744262107801644,8.490507257196366,2.0573710785869457e-17,2.0573710785869457e-17,2.4452065719165974,3.9129303479104474,2.4452065719165974,3.9129303479104474
65|70,NA,NA,threshold,3.50043606454397,0.3813334724381708,9.179461855689913,4.3325112669874774e-20,3.50043606454397,0.3813334724381708,9.179461855689913,4.3325112669874774e-20,4.3325112669874774e-20,2.753036192465558,4.247835936622382,2.753036192465558,4.247835936622382
70|75,NA,NA,threshold,4.019123417774079,0.39856108112007554,10.084083991540627,6.49683042484507e-24,4.019123417774079,0.39856108112007554,10.084083991540627,6.49683042484507e-24,6.49683042484507e-24,3.2379580531393843,4.800288782408773,3.2379580531393843,4.800288782408773
75|80,NA,NA,threshold,4.4481706319944605,0.42185587146145376,10.544289964685019,5.397903847755634e-26,4.4481706319944605,0.42185587146145376,10.544289964685019,5.397903847755634e-26,5.397903847755634e-26,3.621348317263253,5.274992946725668,3.621348317263253,5.274992946725668
80|85,NA,NA,threshold,4.758388089826346,0.449262612440866,10.59155148471801,3.261408807840448e-26,4.758388089826346,0.449262612440866,10.59155148471801,3.261408807840448e-26,3.261408807840448e-26,3.877849549841873,5.63892662981082,3.877849549841873,5.63892662981082
85|90,NA,NA,threshold,5.413284761833195,0.5669808620893109,9.547561697030426,1.3278460918296381e-21,5.413284761833195,0.5669808620893109,9.547561697030426,1.3278460918296381e-21,1.3278460918296381e-21,4.302022692214674,6.524546831451715,4.302022692214674,6.524546831451715
industry_roleMiddle Management,control_role_middle,"Middle Management vs Junior Management, control effect",location,0.20232087702939014,0.270413502599481,0.7481907341330316,0.4543451191648396,0.20232087702939014,0.270413502599481,0.7481907341330316,0.4543451191648396,0.4543451191648396,-0.3276798489989208,0.7323216030577011,-0.3276798489989208,0.7323216030577011
industry_roleUpper Management,control_role_upper,"Upper Management vs Junior Management, control effect",location,0.04396347561039652,0.3216744811908714,0.13667069718318747,0.8912910924090538,0.04396347561039652,0.3216744811908714,0.13667069718318747,0.8912910924090538,0.8912910924090538,-0.5865069222693183,0.6744338734901113,-0.5865069222693183,0.6744338734901113
interface_conddashboard,beta1,"dashboard vs chatbot at low DL, adjusted for industry_role",location,1.1088650907172448,0.19737609906171869,5.618031240806453,1.9314558274042544e-8,1.1088650907172448,0.19737609906171869,5.618031240806453,1.9314558274042544e-8,1.9314558274042544e-8,0.7220150451472663,1.4957151362872234,0.7220150451472663,1.4957151362872234
dl_ordmedium,beta2,"medium vs low DL within chatbot, adjusted for industry_role",location,-0.12155551143556236,0.2903929620910156,-0.418589729448967,0.6755159969083961,-0.12155551143556236,0.2903929620910156,-0.418589729448967,0.6755159969083961,0.6755159969083961,-0.690715258497858,0.4476042356267333,-0.690715258497858,0.4476042356267333
dl_ordhigh,beta3,"high vs low DL within chatbot, adjusted for industry_role",location,-0.37703083456513214,0.3218810253770661,-1.1713360056668798,0.24146374411974217,-0.37703083456513214,0.3218810253770661,-1.1713360056668798,0.24146374411974217,0.24146374411974217,-1.0079060516110048,0.2538443824807404,-1.0079060516110048,0.2538443824807404
task_complexitymid,beta6,"task complexity mid vs easy, adjusted for interface, DL, and industry_role",location,0.41489185635502046,0.12722872723368525,3.26099195815246,0.001110231889893677,0.41489185635502046,0.12722872723368525,3.26099195815246,0.001110231889893677,0.001110231889893677,0.1655281331781271,0.6642555795319138,0.1655281331781271,0.6642555795319138
task_complexityhard,beta7,"task complexity hard vs easy, adjusted for interface, DL, and industry_role",location,1.536011379041945,0.14225501676014984,10.79759022932561,3.533557530155637e-27,1.536011379041945,0.14225501676014984,10.79759022932561,3.533557530155637e-27,3.533557530155637e-27,1.2571966695719095,1.8148260885119805,1.2571966695719095,1.8148260885119805
