y_ord,interface_cond,dl_ord,prob,SE,df,asymp.LCL,asymp.UCL,lower.CL,upper.CL,p.value.raw,p.value
1,chatbot,low,0.07442290771903151,0.046971834097533395,Inf,-0.017640195399924397,0.16648601083798742,-0.017640195399924397,0.16648601083798742,NA,NA
2,chatbot,low,0.16075889203774635,0.05386025874007522,Inf,0.055194724709190277,0.2663230593663024,0.055194724709190277,0.2663230593663024,NA,NA
3,chatbot,low,0.15387238391689653,0.031265970137836246,Inf,0.09259220850503266,0.2151525593287604,0.09259220850503266,0.2151525593287604,NA,NA
4,chatbot,low,0.14210431326797873,0.02252109221653307,Inf,0.097963783631068585,0.18624484290488888,0.097963783631068585,0.18624484290488888,NA,NA
5,chatbot,low,0.12406725630390794,0.022085874087162026,Inf,0.08077973852598394,0.16735477408183194,0.08077973852598394,0.16735477408183194,NA,NA
6,chatbot,low,0.07657890867973148,0.01852641852528109,Inf,0.04026779560766489,0.11289002175179808,0.04026779560766489,0.11289002175179808,NA,NA
7,chatbot,low,0.06157170763085549,0.017300888384217412,Inf,0.027662589497242,0.09548082576446898,0.027662589497242,0.09548082576446898,NA,NA
8,chatbot,low,0.04640511607012066,0.015163012837116994,Inf,0.016686157012252855,0.07612407512798847,0.016686157012252855,0.07612407512798847,NA,NA
9,chatbot,low,0.06110704370598449,0.021498213930969044,Inf,0.01897131866934792,0.10324276874262106,0.01897131866934792,0.10324276874262106,NA,NA
10,chatbot,low,0.022807854553081097,0.010261457997846352,Inf,0.0026957664484317592,0.042919942657730435,0.0026957664484317592,0.042919942657730435,NA,NA
11,chatbot,low,0.028834599751360976,0.013763589934822695,Inf,0.0018584591811305097,0.055810740321591445,0.0018584591811305097,0.055810740321591445,NA,NA
12,chatbot,low,0.020329018353031914,0.011300325512155898,Inf,-0.0018192126643727796,0.04247724937043661,-0.0018192126643727796,0.04247724937043661,NA,NA
13,chatbot,low,0.01776024526150094,0.011635615323325294,Inf,-0.005045141710179009,0.04056563223318089,-0.005045141710179009,0.04056563223318089,NA,NA
14,chatbot,low,0.005189681867229665,0.004237946601614,Inf,-0.003116540840337691,0.01349590457479702,-0.003116540840337691,0.01349590457479702,NA,NA
15,chatbot,low,0.0032512999332856563,0.003095074509005435,Inf,-0.002814934633832987,0.0093175345004043,-0.002814934633832987,0.0093175345004043,NA,NA
16,chatbot,low,7.118053855400125e-4,8.451930373789265e-4,Inf,-9.447425277066988e-4,0.002368353298786724,-9.447425277066988e-4,0.002368353298786724,NA,NA
17,chatbot,low,1.535201688632054e-4,2.2171794050383734e-4,Inf,-2.810390092507102e-4,5.88079346977121e-4,-2.810390092507102e-4,5.88079346977121e-4,NA,NA
18,chatbot,low,6.831099586789013e-5,1.1380839569736439e-4,Inf,-1.5474936083722726e-4,2.9137135257300753e-4,-1.5474936083722726e-4,2.9137135257300753e-4,NA,NA
19,chatbot,low,5.134397985440131e-6,1.2554042224396272e-5,Inf,-1.9471072634771665e-5,2.9739868605651927e-5,-1.9471072634771665e-5,2.9739868605651927e-5,NA,NA
1,dashboard,low,5.61814515645796e-4,7.970264007136878e-4,Inf,-0.0010003285244806208,0.002123957555772213,-0.0010003285244806208,0.002123957555772213,NA,NA
2,dashboard,low,0.005920050983832222,0.006136589440709275,Inf,-0.006107443307866748,0.01794754527553119,-0.006107443307866748,0.01794754527553119,NA,NA
3,dashboard,low,0.01611274082691108,0.01303326369932629,Inf,-0.009431986624781712,0.04165746827860388,-0.009431986624781712,0.04165746827860388,NA,NA
4,dashboard,low,0.031747463293916756,0.02034882945753332,Inf,-0.008135509570396264,0.07163043615822978,-0.008135509570396264,0.07163043615822978,NA,NA
5,dashboard,low,0.05169253692180876,0.025823964308839306,Inf,0.0010784969384359383,0.10230657690518158,0.0010784969384359383,0.10230657690518158,NA,NA
6,dashboard,low,0.05084683925657077,0.02086792501989561,Inf,0.009946457785493093,0.09174722072764845,0.009946457785493093,0.09174722072764845,NA,NA
7,dashboard,low,0.05770963878681595,0.01969376911487267,Inf,0.019110560601818267,0.09630871697181365,0.019110560601818267,0.09630871697181365,NA,NA
8,dashboard,low,0.05843926243184927,0.017232337972218813,Inf,0.024664500636878417,0.09221402422682012,0.024664500636878417,0.09221402422682012,NA,NA
9,dashboard,low,0.10924857640455814,0.022039690172172013,Inf,0.06605157743667961,0.15244557537243666,0.06605157743667961,0.15244557537243666,NA,NA
