term,symbolic_label,parameter_meaning,component,Estimate,Std. Error,z value,Pr(>|z|),estimate,SE,z.ratio,p.value,p.value.raw,conf.low,conf.high,lower.CL,upper.CL
0|5,NA,NA,threshold,-0.9338210928496845,0.42247834079012897,-2.210340750494405,0.027081522471290344,-0.9338210928496845,0.42247834079012897,-2.210340750494405,0.027081522471290344,0.027081522471290344,-1.7618634250465763,-0.10577876065279268,-1.7618634250465763,-0.10577876065279268
5|10,NA,NA,threshold,-0.11245117317785451,0.41556071126893424,-0.2706010701408214,0.786697872672443,-0.11245117317785451,0.41556071126893424,-0.2706010701408214,0.786697872672443,0.786697872672443,-0.9269352006548136,0.7020328542991047,-0.9269352006548136,0.7020328542991047
10|15,NA,NA,threshold,0.4079621461176089,0.41543422323981305,0.9820138142112311,0.3260930426666902,0.4079621461176089,0.41543422323981305,0.9820138142112311,0.3260930426666902,0.3260930426666902,-0.4062739693777972,1.222198261613015,-0.4062739693777972,1.222198261613015
15|20,NA,NA,threshold,0.845391669480818,0.41649789745011995,2.029762154038395,0.04238072164204434,0.845391669480818,0.41649789745011995,2.029762154038395,0.04238072164204434,0.04238072164204434,0.02907079084192632,1.6617125481197097,0.02907079084192632,1.6617125481197097
20|25,NA,NA,threshold,1.242950628505663,0.41890105493878593,2.967169964962957,0.0030055476197099473,1.242950628505663,0.41890105493878593,2.967169964962957,0.0030055476197099473,0.0030055476197099473,0.4219196477398083,2.0639816092715177,0.4219196477398083,2.0639816092715177
25|30,NA,NA,threshold,1.5158004803265193,0.42110513133491617,3.599577320564547,3.1873485078010857e-4,1.5158004803265193,0.42110513133491617,3.599577320564547,3.1873485078010857e-4,3.1873485078010857e-4,0.6904495892050744,2.341151371447964,0.6904495892050744,2.341151371447964
30|35,NA,NA,threshold,1.7652063193221441,0.4231515005398014,4.171570506237895,3.02507422727248e-5,1.7652063193221441,0.4231515005398014,4.171570506237895,3.02507422727248e-5,3.02507422727248e-5,0.9358446182600524,2.594568020384236,0.9358446182600524,2.594568020384236
35|40,NA,NA,threshold,1.9832100497469842,0.4250930362638885,4.665355300047424,3.080842337414778e-6,1.9832100497469842,0.4250930362638885,4.665355300047424,3.080842337414778e-6,3.080842337414778e-6,1.1500430085909839,2.816377090902985,1.1500430085909839,2.816377090902985
40|45,NA,NA,threshold,2.3441601983982627,0.42855338544412,5.469937417409395,4.5019451671280866e-8,2.3441601983982627,0.42855338544412,5.469937417409395,4.5019451671280866e-8,4.5019451671280866e-8,1.504210997475076,3.1841093993214495,1.504210997475076,3.1841093993214495
45|50,NA,NA,threshold,2.5191298025690263,0.4302237049469543,5.8553951667531425,4.758771249747914e-9,2.5191298025690263,0.4302237049469543,5.8553951667531425,4.758771249747914e-9,4.758771249747914e-9,1.6759068355776094,3.3623527695604434,1.6759068355776094,3.3623527695604434
50|55,NA,NA,threshold,2.807134160711737,0.4329320419419307,6.4840064692838295,8.931838921996344e-11,2.807134160711737,0.4329320419419307,6.4840064692838295,8.931838921996344e-11,8.931838921996344e-11,1.9586029507521687,3.655665370671305,1.9586029507521687,3.655665370671305
