term,Estimate_logit,SE_robust,z,p,CI_low_logit,CI_high_logit,OR,OR_CI_low,OR_CI_high
Intercept,2.6024270968683854,0.2582125838983168,10.078622263790256,6.868238240438696e-24,2.096339732072657,3.1085144616641136,13.496455519614416,8.136334179446461,22.387761807163503
"C(industry_role, Treatment(reference='Junior Management'))[T.Middle Management]",0.015858961225024455,0.18550650120855658,0.08549005626058863,0.9318718004855723,-0.3477271000417825,0.3794450224918314,1.015985381966996,0.7062915968637332,1.461473279526746
"C(industry_role, Treatment(reference='Junior Management'))[T.Upper Management]",-0.03635832906013832,0.22946495007471676,-0.15844829046135184,0.8741035640634672,-0.48610136692086475,0.41338470880058814,0.9642946967557608,0.6150194615245951,1.5119265655207217
"C(dl_ord, Treatment(reference='low'))[T.medium]",-0.5567380844345994,0.20059596960168347,-2.775420092138915,0.005513044516754847,-0.9498989602977905,-0.16357720857140828,0.5730753417509699,0.3867801016265334,0.8491009386002533
"C(dl_ord, Treatment(reference='low'))[T.high]",-0.2255872489499458,0.21338778657217267,-1.057170387179807,0.2904338320742109,-0.643819625372124,0.1926451274722324,0.7980474286101297,0.525282206105376,1.212452451099165
"C(task_code, Treatment(reference='T1'))[T.T2]",-0.37084685395827405,0.20553292122788636,-1.8043185088927651,0.07118138984622617,-0.7736839772022392,0.03199026928569115,0.6901496271495141,0.46131047680296755,1.0325074582211382
"C(task_code, Treatment(reference='T1'))[T.T3]",-2.178256676853797,0.17372155793688174,-12.538781615378003,4.579826226959411e-36,-2.518744673748274,-1.8377686799593207,0.11323877043369214,0.08056067322851872,0.15917219426606083
iface_dash,-0.8126758713009556,0.28248959820597197,-2.8768346744874065,0.00401685986485764,-1.3663453097918512,-0.25900643281005997,0.4436692745266687,0.2550373408618573,0.7718180580687657
"iface_dash:C(dl_ord, Treatment(reference='low'))[T.medium]",0.8119596744158185,0.3359010641988959,2.417258416112179,0.01563791070879302,0.15360568621730597,1.470313662614331,2.252317473615291,1.1660310140174384,4.350599547497885
"iface_dash:C(dl_ord, Treatment(reference='low'))[T.high]",0.5616462599984186,0.35004354358726714,1.6045039832548664,0.10860300716263363,-0.1244264784534016,1.2477189984502388,1.7535569360178003,0.8830031787392983,3.482390552938203
