term,Estimate_log,SE_robust,z,p,CI_low_log,CI_high_log,TR_or_ratioTR,TR_or_ratioTR_CI_low,TR_or_ratioTR_CI_high,% change
Intercept,4.28692632084422,0.14595255603562995,29.37205375010832,1.2495968958680655e-189,4.000864567562821,4.572988074125619,72.74253730895036,54.64537423396744,96.83302216008734,7174.253730895036
"C(industry_role, Treatment(reference='Junior Management'))[T.Middle Management]",0.08787061424641725,0.08563927271494812,1.0260551200486743,0.30486560331559753,-0.0799792759370848,0.2557205044299193,1.0918468434620394,0.9231354773061109,1.2913917392243286,9.184684346203941
"C(industry_role, Treatment(reference='Junior Management'))[T.Upper Management]",-0.025890883496262847,0.0953006136566696,-0.2716759368364348,0.7858712052311732,-0.21267665396790128,0.1608948869753756,0.974441411447824,0.8084174935487629,1.1745615006129904,-2.5558588552175965
"C(dl_ord, Treatment(reference='low'))[T.medium]",0.2866404144796383,0.1415687458484338,2.024743616691505,0.042893697398251586,0.009170771280203771,0.5641100576790727,1.3319451791535952,1.0092129516467034,1.7578826722108465,33.194517915359526
"C(dl_ord, Treatment(reference='low'))[T.high]",0.3145933485311879,0.1449877299961844,2.169792909644609,0.030022537751485227,0.030422619538448825,0.598764077523927,1.369702206276938,1.0308901162093516,1.8198681938850978,36.97022062769379
"C(task_code, Treatment(reference='T1'))[T.T2]",0.6554350946049554,0.04690923871526294,13.972409541400111,2.297210791635974e-44,0.5634946761808481,0.7473755130290627,1.925980318747655,1.756801236520204,2.1114512621534454,92.5980318747655
"C(task_code, Treatment(reference='T1'))[T.T3]",1.2673563198069786,0.05451136491434086,23.249396191023685,1.4426798443189842e-119,1.1605160078267502,1.374196631787207,3.551451239487201,3.1915797314088477,3.9519006159647314,255.14512394872008
iface_dash,0.05732998829505888,0.17372876261907222,0.3299971025567248,0.7414021514317988,-0.28317212951703113,0.39783210610714886,1.059005212067487,0.7533900960247762,1.4885940830701092,5.90052120674871
"iface_dash:C(dl_ord, Treatment(reference='low'))[T.medium]",-0.05177124265483354,0.19196272042265342,-0.2696942538678674,0.7873954815510631,-0.4280112610575657,0.3244687757478987,0.9495460576352058,0.6518040747541963,1.383295610587554,-5.045394236479417
"iface_dash:C(dl_ord, Treatment(reference='low'))[T.high]",0.00282072421398866,0.1945790302919548,0.014496547802485823,0.9884338334296625,-0.37854716730497096,0.38418861573294827,1.002824706199682,0.6848556674971162,1.4684223831274827,0.28247061996820033
