y_ord,interface_cond,task_complexity,prob,SE,df,asymp.LCL,asymp.UCL,lower.CL,upper.CL,p.value.raw,p.value
1,chatbot,easy,0.10497608366141906,0.03746635699001799,Inf,0.031543373329063304,0.1784087939937748,0.031543373329063304,0.1784087939937748,NA,NA
2,chatbot,easy,0.2249109709170113,0.044012410429863515,Inf,0.13864823160168377,0.3111737102323388,0.13864823160168377,0.3111737102323388,NA,NA
3,chatbot,easy,0.20124937917954272,0.03276961140228015,Inf,0.13702212104370054,0.2654766373153849,0.13702212104370054,0.2654766373153849,NA,NA
4,chatbot,easy,0.16621797662479748,0.027731012819876888,Inf,0.11186619024302027,0.2205697630065747,0.11186619024302027,0.2205697630065747,NA,NA
5,chatbot,easy,0.12238626230270236,0.0243890119616424,Inf,0.0745846772393667,0.17018784736603804,0.0745846772393667,0.17018784736603804,NA,NA
6,chatbot,easy,0.06269625450727284,0.016506575096042187,Inf,0.03034396181092438,0.0950485472036213,0.03034396181092438,0.0950485472036213,NA,NA
7,chatbot,easy,0.04217551692319804,0.012798328966387365,Inf,0.017091253086783074,0.067259780759613,0.017091253086783074,0.067259780759613,NA,NA
8,chatbot,easy,0.0263593862254628,0.009196270251975619,Inf,0.008335027739493503,0.0443837447114321,0.008335027739493503,0.0443837447114321,NA,NA
9,chatbot,easy,0.027024638303132342,0.01007935399417212,Inf,0.007269467487125047,0.046779809119139634,0.007269467487125047,0.046779809119139634,NA,NA
10,chatbot,easy,0.007668999200831195,0.003599273943363669,Inf,6.145519013449471e-4,0.014723446500317441,6.145519013449471e-4,0.014723446500317441,NA,NA
11,chatbot,easy,0.007660901062060355,0.0037670374772988883,Inf,2.776432781419133e-4,0.015044158845978796,2.776432781419133e-4,0.015044158845978796,NA,NA
12,chatbot,easy,0.003901075084984662,0.0021802629211410073,Inf,-3.7216171727980345e-4,0.008174311887249128,-3.7216171727980345e-4,0.008174311887249128,NA,NA
13,chatbot,easy,0.0022171043466580054,0.0014059235578783053,Inf,-5.384551917998865e-4,0.004972663885115898,-5.384551917998865e-4,0.004972663885115898,NA,NA
14,chatbot,easy,3.839543745305374e-4,2.9943155378019473e-4,Inf,-2.0292068671351243e-4,9.708294357745872e-4,-2.0292068671351243e-4,9.708294357745872e-4,NA,NA
15,chatbot,easy,1.5051483213623928e-4,1.3430402551585846e-4,Inf,-1.1271622085359172e-4,4.137458851260703e-4,-1.1271622085359172e-4,4.137458851260703e-4,NA,NA
16,chatbot,easy,1.7946695672121926e-5,2.0328002381535814e-5,Inf,-2.189545687333271e-5,5.778884821757656e-5,-2.189545687333271e-5,5.778884821757656e-5,NA,NA
17,chatbot,easy,2.362941911748795e-6,3.3653295004979542e-6,Inf,-4.232982705337364e-6,8.958866528834955e-6,-4.232982705337364e-6,8.958866528834955e-6,NA,NA
18,chatbot,easy,6.516647063081749e-7,1.1007380979891402e-6,Inf,-1.5057423221616603e-6,2.80907173477801e-6,-1.5057423221616603e-6,2.80907173477801e-6,NA,NA
19,chatbot,easy,2.1151969953336902e-8,5.7241237336880537e-8,Inf,-9.103879365745836e-8,1.3334273356413216e-7,-9.103879365745836e-8,1.3334273356413216e-7,NA,NA
1,dashboard,easy,0.00927193635011563,0.0056316508375429675,Inf,-0.0017658964649734134,0.020309769165204675,-0.0017658964649734134,0.020309769165204675,NA,NA
2,dashboard,easy,0.05240159549014305,0.019094768934337633,Inf,0.014976536085727035,0.08982665489455907,0.014976536085727035,0.08982665489455907,NA,NA
3,dashboard,easy,0.09162532143333628,0.024080634794216006,Inf,0.044428144511810826,0.13882249835486174,0.044428144511810826,0.13882249835486174,NA,NA
4,dashboard,easy,0.1264463803064897,0.02564949335334719,Inf,0.07617429711222971,0.17671846350074966,0.07617429711222971,0.17671846350074966,NA,NA
5,dashboard,easy,0.14650256471463352,0.02492262622206109,Inf,0.09765511491924024,0.19535001451002681,0.09765511491924024,0.19535001451002681,NA,NA
6,dashboard,easy,0.10841836349425926,0.020887046460544057,Inf,0.06748050468817811,0.1493562223003404,0.06748050468817811,0.1493562223003404,NA,NA
7,dashboard,easy,0.09712406476188298,0.019461331152897297,Inf,0.05898055661099692,0.13526757291276903,0.05898055661099692,0.13526757291276903,NA,NA
8,dashboard,easy,0.07848638388945872,0.017538553988717377,Inf,0.04411144973066136,0.11286131804825608,0.04411144973066136,0.11286131804825608,NA,NA
9,dashboard,easy,0.10934718961425388,0.021971700446805898,Inf,0.06628344805941172,0.15241093116909604,0.06628344805941172,0.15241093116909604,NA,NA
10,dashboard,easy,0.042066705875462074,0.012386622515679544,Inf,0.01778937185463725,0.0663440398962869,0.01778937185463725,0.0663440398962869,NA,NA
11,dashboard,easy,0.05364307745410307,0.015064279449395488,Inf,0.024117632280241046,0.08316852262796509,0.024117632280241046,0.08316852262796509,NA,NA
12,dashboard,easy,0.03755790168430734,0.012263102356370424,Inf,0.01352266272709304,0.06159314064152163,0.01352266272709304,0.06159314064152163,NA,NA
13,dashboard,easy,0.031757227896520523,0.011786753465582209,Inf,0.008655615609326733,0.054858840183714314,0.008655615609326733,0.054858840183714314,NA,NA
14,dashboard,easy,0.008792725603919416,0.004335978785340802,Inf,2.943633469217159e-4,0.017291087860917115,2.943633469217159e-4,0.017291087860917115,NA,NA
15,dashboard,easy,0.0051932544517089285,0.0029563278084428365,Inf,-6.010415793332577e-4,0.010987550482751116,-6.010415793332577e-4,0.010987550482751116,NA,NA
16,dashboard,easy,0.0010568385271874647,8.139661791671033e-4,Inf,-5.385058686137342e-4,0.0026521829229886637,-5.385058686137342e-4,0.0026521829229886637,NA,NA
17,dashboard,easy,2.1388953879158956e-4,2.2065204203456173e-4,Inf,-2.1858051671136945e-4,6.463595942945486e-4,-2.1858051671136945e-4,6.463595942945486e-4,NA,NA
18,dashboard,easy,8.867561492359455e-5,1.0970669166685496e-4,Inf,-1.263455496064816e-4,3.0369677945367066e-4,-1.263455496064816e-4,3.0369677945367066e-4,NA,NA
19,dashboard,easy,5.903298502918375e-6,1.2452255357673314e-5,Inf,-1.8502673524417245e-5,3.0309270530253995e-5,-1.8502673524417245e-5,3.0309270530253995e-5,NA,NA
1,chatbot,mid,0.04773738718271317,0.02153614620573429,Inf,0.005527316253685036,0.0899474581117413,0.005527316253685036,0.0899474581117413,NA,NA
2,chatbot,mid,0.1489137077881647,0.037505302584549434,Inf,0.07540466549317083,0.2224227500831586,0.07540466549317083,0.2224227500831586,NA,NA
3,chatbot,mid,0.17206983219887192,0.03170420651122261,Inf,0.10993072927845535,0.2342089351192885,0.10993072927845535,0.2342089351192885,NA,NA
4,chatbot,mid,0.17248637735290687,0.02741338924680111,Inf,0.11875712173499911,0.22621563297081462,0.11875712173499911,0.22621563297081462,NA,NA
5,chatbot,mid,0.15063501073679103,0.025396824709646788,Inf,0.10085814898420642,0.20041187248937564,0.10085814898420642,0.20041187248937564,NA,NA
6,chatbot,mid,0.08868646617205503,0.01952981062611009,Inf,0.05040874071999162,0.12696419162411843,0.05040874071999162,0.12696419162411843,NA,NA
7,chatbot,mid,0.06644494749352398,0.016483172372042883,Inf,0.03413852329335428,0.09875137169369366,0.03413852329335428,0.09875137169369366,NA,NA
8,chatbot,mid,0.04574304021210157,0.01305552476019903,Inf,0.020154681882840555,0.07133139854136258,0.020154681882840555,0.07133139854136258,NA,NA
9,chatbot,mid,0.05257284963504044,0.015439252280046079,Inf,0.022312471217922222,0.08283322805215866,0.022312471217922222,0.08283322805215866,NA,NA
10,chatbot,mid,0.01674458789926736,0.006495057349121512,Inf,0.004014509417467003,0.029474666381067716,0.004014509417467003,0.029474666381067716,NA,NA
11,chatbot,mid,0.01832239886904352,0.0072738940829384,Inf,0.004065828439125256,0.032578969298961785,0.004065828439125256,0.032578969298961785,NA,NA
12,chatbot,mid,0.010514573839599972,0.004798088720407772,Inf,0.0011104927529728675,0.019918654926227075,0.0011104927529728675,0.019918654926227075,NA,NA
13,chatbot,mid,0.006926700497916272,0.0036317301774468147,Inf,-1.913598514467433e-4,0.014044760847279287,-1.913598514467433e-4,0.014044760847279287,NA,NA
14,chatbot,mid,0.0014328176321516395,9.560294167447243e-4,Inf,-4.409655928288537e-4,0.0033066008571321324,-4.409655928288537e-4,0.0033066008571321324,NA,NA
