no.par,AIC,logLik,LR.stat,df,Pr(>Chisq),item_key,effect
11,1390.403241936684,-684.201620968342,NA,NA,NA,r1,interface_main_effect_adjusted_for_complexity_and_industry_role
12,1391.713666373782,-683.856833186891,0.6895755629020641,1,0.40630878502087875,r1,interface_main_effect_adjusted_for_complexity_and_industry_role
10,1507.8646015086529,-743.9323007543264,NA,NA,NA,r1,complexity_main_effect_adjusted_for_interface_and_industry_role
12,1391.713666373782,-683.856833186891,120.1509351348709,2,8.119998288549355e-27,r1,complexity_main_effect_adjusted_for_interface_and_industry_role
11,1451.3555337519042,-714.6777668759521,NA,NA,NA,r2,interface_main_effect_adjusted_for_complexity_and_industry_role
12,1452.7987446218767,-714.3993723109384,0.5567891300274823,1,0.455556851521302,r2,interface_main_effect_adjusted_for_complexity_and_industry_role
10,1547.7950757784338,-763.8975378892169,NA,NA,NA,r2,complexity_main_effect_adjusted_for_interface_and_industry_role
12,1452.7987446218767,-714.3993723109384,98.99633115655706,2,3.185809661628773e-22,r2,complexity_main_effect_adjusted_for_interface_and_industry_role
11,1391.731868426667,-684.8659342133335,NA,NA,NA,r3,interface_main_effect_adjusted_for_complexity_and_industry_role
12,1386.741913573383,-681.3709567866915,6.989954853283962,1,0.008196842123461615,r3,interface_main_effect_adjusted_for_complexity_and_industry_role
10,1461.1188565249581,-720.5594282624791,NA,NA,NA,r3,complexity_main_effect_adjusted_for_interface_and_industry_role
12,1386.741913573383,-681.3709567866915,78.37694295157507,2,9.564517890363423e-18,r3,complexity_main_effect_adjusted_for_interface_and_industry_role
