item_key,interface_cond,task_complexity,emmean,SE,df,asymp.LCL,asymp.UCL,lower.CL,upper.CL,p.value.raw,p.value
r1,chatbot,easy,0.49539342830381583,0.20059644712501343,Inf,0.10223161651209633,0.8885552400955353,0.10223161651209633,0.8885552400955353,NA,NA
r1,dashboard,easy,0.4952765214741669,0.18885483947143072,Inf,0.12512783780406933,0.8654252051442645,0.12512783780406933,0.8654252051442645,NA,NA
r1,chatbot,mid,-0.5364353224682227,0.20004458579052134,Inf,-0.9285155059198775,-0.14435513901656788,-0.9285155059198775,-0.14435513901656788,NA,NA
r1,dashboard,mid,-0.039282299570057515,0.18497584346291557,Inf,-0.40182829076729076,0.3232636916271757,-0.40182829076729076,0.3232636916271757,NA,NA
r1,chatbot,hard,-1.1676472403248084,0.211527618606108,Inf,-1.5822337545283047,-0.7530607261213121,-1.5822337545283047,-0.7530607261213121,NA,NA
r1,dashboard,hard,-1.1765789817096917,0.1985277191160043,Inf,-1.565686161109944,-0.7874718023094394,-1.565686161109944,-0.7874718023094394,NA,NA
r2,chatbot,easy,-0.9710013874241682,0.18098835363412247,Inf,-1.325732042168247,-0.6162707326800893,-1.325732042168247,-0.6162707326800893,NA,NA
r2,dashboard,easy,-0.6168457165401454,0.1652425204913768,Inf,-0.9407151054178657,-0.2929763276624251,-0.9407151054178657,-0.2929763276624251,NA,NA
r2,chatbot,mid,-0.0453474110821578,0.1690688854454513,Inf,-0.37671633746157035,0.2860215152972548,-0.37671633746157035,0.2860215152972548,NA,NA
r2,dashboard,mid,0.08009743707000712,0.15937754453058095,Inf,-0.23227681015436014,0.39247168429437435,-0.23227681015436014,0.39247168429437435,NA,NA
r2,chatbot,hard,0.6988999243777504,0.17328592035491605,Inf,0.3592657614542388,1.038534087301262,0.3592657614542388,1.038534087301262,NA,NA
r2,dashboard,hard,0.6019940817972138,0.16381955322506575,Inf,0.2809136575126426,0.9230745060817851,0.2809136575126426,0.9230745060817851,NA,NA
r3,chatbot,easy,0.22712722613282652,0.18937755690177754,Inf,-0.14404596487484214,0.5983004171404952,-0.14404596487484214,0.5983004171404952,NA,NA
r3,dashboard,easy,-0.20412580618207157,0.17931949312661793,Inf,-0.5555855544362204,0.14733394207207726,-0.5555855544362204,0.14733394207207726,NA,NA
r3,chatbot,mid,0.9324632150382737,0.19687104486615803,Inf,0.5466030575018349,1.3183233725747123,0.5466030575018349,1.3183233725747123,NA,NA
r3,dashboard,mid,0.27822991912386386,0.1792400553911878,Inf,-0.07307413402982854,0.6295339722775563,-0.07307413402982854,0.6295339722775563,NA,NA
r3,chatbot,hard,1.506099074959251,0.20807196320179092,Inf,1.0982855208911975,1.9139126290273047,1.0982855208911975,1.9139126290273047,NA,NA
r3,dashboard,hard,1.0389527843773687,0.1875206640915632,Inf,0.6714190364008715,1.406486532353866,0.6714190364008715,1.406486532353866,NA,NA
