item_key,y_ord,interface_cond,task_complexity,prob,SE,df,asymp.LCL,asymp.UCL,lower.CL,upper.CL,p.value.raw,p.value
r1,1,chatbot,easy,0.038382909615710274,0.019073519617553006,Inf,9.99498106888208e-4,0.07576632112453234,9.99498106888208e-4,0.07576632112453234,NA,NA
r1,2,chatbot,easy,0.10251030287957694,0.03120137761159479,Inf,0.04135672649281679,0.16366387926633708,0.04135672649281679,0.16366387926633708,NA,NA
r1,3,chatbot,easy,0.10999148363908019,0.0245798353829566,Inf,0.06181589154256198,0.1581670757355984,0.06181589154256198,0.1581670757355984,NA,NA
r1,4,chatbot,easy,0.13000628109780715,0.02318092773971361,Inf,0.084572497599743,0.1754400645958713,0.084572497599743,0.1754400645958713,NA,NA
r1,5,chatbot,easy,0.13677270465988625,0.02287326474693616,Inf,0.09194192954704172,0.18160347977273078,0.09194192954704172,0.18160347977273078,NA,NA
r1,6,chatbot,easy,0.2790157388215492,0.03966335986461784,Inf,0.20127698198104677,0.3567544956620516,0.20127698198104677,0.3567544956620516,NA,NA
r1,7,chatbot,easy,0.2033205792863899,0.05761685385754466,Inf,0.09039362082309471,0.3162475377496851,0.09039362082309471,0.3162475377496851,NA,NA
r1,1,dashboard,easy,0.03839257882790704,0.01810611144408241,Inf,0.0029052524974370122,0.07387990515837706,0.0029052524974370122,0.07387990515837706,NA,NA
r1,2,dashboard,easy,0.10252656030635579,0.029686165934516787,Inf,0.044342744235623066,0.16071037637708852,0.044342744235623066,0.16071037637708852,NA,NA
r1,3,dashboard,easy,0.11000247247375175,0.023748820352352203,Inf,0.0634556399078296,0.1565493050396739,0.0634556399078296,0.1565493050396739,NA,NA
r1,4,dashboard,easy,0.1300135355561838,0.022866519614400223,Inf,0.08519598066018066,0.17483109045218695,0.08519598066018066,0.17483109045218695,NA,NA
r1,5,dashboard,easy,0.13677472648984806,0.0228732594679618,Inf,0.09194396172360314,0.181605491256093,0.09194396172360314,0.181605491256093,NA,NA
r1,6,dashboard,easy,0.2790023022789414,0.038659315346672773,Inf,0.2032314365324862,0.3547731680253966,0.2032314365324862,0.3547731680253966,NA,NA
r1,7,dashboard,easy,0.20328782406701218,0.05493140334357226,Inf,0.09562425189336747,0.3109513962406569,0.09562425189336747,0.3109513962406569,NA,NA
r1,1,chatbot,mid,0.22782040682719104,0.06283237227091348,Inf,0.10467122011298748,0.3509695935413946,0.10467122011298748,0.3509695935413946,NA,NA
r1,2,chatbot,mid,0.2510353795972679,0.033541615053265965,Inf,0.18529502210956011,0.3167757370849757,0.18529502210956011,0.3167757370849757,NA,NA
r1,3,chatbot,mid,0.15848007300990624,0.023660940319822122,Inf,0.11210548214270327,0.2048546638771092,0.11210548214270327,0.2048546638771092,NA,NA
r1,4,chatbot,mid,0.12681393321458784,0.023598698309229834,Inf,0.08056133444647111,0.17306653198270455,0.08056133444647111,0.17306653198270455,NA,NA
r1,5,chatbot,mid,0.09285882722419905,0.022290080218198456,Inf,0.04917107278402138,0.13654658166437672,0.04917107278402138,0.13654658166437672,NA,NA
r1,6,chatbot,mid,0.11099132498011172,0.033136317652169796,Inf,0.04604533580158009,0.17593731415864333,0.04604533580158009,0.17593731415864333,NA,NA
r1,7,chatbot,mid,0.032000055146736206,0.015655901999729254,Inf,0.0013150510817782624,0.06268505921169415,0.0013150510817782624,0.06268505921169415,NA,NA
r1,1,dashboard,mid,0.107634106197521,0.03808334063673601,Inf,0.03299213013854775,0.18227608225649428,0.03299213013854775,0.18227608225649428,NA,NA
r1,2,dashboard,mid,0.18490312687277807,0.0351770078180758,Inf,0.11595745846546561,0.2538487952800905,0.11595745846546561,0.2538487952800905,NA,NA
r1,3,dashboard,mid,0.1511972498898751,0.023621692253873356,Inf,0.10489958381839455,0.19749491596135565,0.10489958381839455,0.19749491596135565,NA,NA
r1,4,dashboard,mid,0.14603457073824405,0.022623213918173023,Inf,0.10169388624407966,0.19037525523240845,0.10169388624407966,0.19037525523240845,NA,NA
r1,5,dashboard,mid,0.12734466497107536,0.02310526931632031,Inf,0.08205916925798916,0.17263016068416154,0.08205916925798916,0.17263016068416154,NA,NA
r1,6,dashboard,mid,0.195913261894607,0.03914824687080151,Inf,0.11918410796995318,0.27264241581926085,0.11918410796995318,0.27264241581926085,NA,NA
r1,7,dashboard,mid,0.08697301943589941,0.03167755512485847,Inf,0.02488615227289462,0.1490598865989042,0.02488615227289462,0.1490598865989042,NA,NA
r1,1,chatbot,hard,0.452199871341344,0.08202298939954251,Inf,0.29143776621393,0.6129619764687579,0.29143776621393,0.6129619764687579,NA,NA
r1,2,chatbot,hard,0.26436929223451877,0.032458162297083364,Inf,0.20075246312787953,0.327986121341158,0.20075246312787953,0.327986121341158,NA,NA
r1,3,chatbot,hard,0.1191293987106774,0.025181938261856645,Inf,0.06977370665652721,0.1684850907648276,0.06977370665652721,0.1684850907648276,NA,NA
r1,4,chatbot,hard,0.07502165376446174,0.020876489563647516,Inf,0.03410448609608631,0.11593882143283717,0.03410448609608631,0.11593882143283717,NA,NA
r1,5,chatbot,hard,0.04399342880414503,0.015428522202842097,Inf,0.013754080951897948,0.07423277665639211,0.013754080951897948,0.07423277665639211,NA,NA
r1,6,chatbot,hard,0.03867017112516796,0.01690408626081767,Inf,0.0055387708624069915,0.07180157138792893,0.0055387708624069915,0.07180157138792893,NA,NA
r1,7,chatbot,hard,0.006616184019685112,0.0043513665127788955,Inf,-0.0019123376288951704,0.015144705668265394,-0.0019123376288951704,0.015144705668265394,NA,NA
r1,1,dashboard,hard,0.4557091505817527,0.07756282405608496,Inf,0.3036888088926093,0.6077294922708961,0.3036888088926093,0.6077294922708961,NA,NA
r1,2,dashboard,hard,0.26384987802030124,0.032466940544621056,Inf,0.20021584386464075,0.32748391217596173,0.20021584386464075,0.32748391217596173,NA,NA
r1,3,dashboard,hard,0.1183211158886506,0.024408390549609235,Inf,0.07048154949082869,0.16616068228647252,0.07048154949082869,0.16616068228647252,NA,NA
r1,4,dashboard,hard,0.07426013068235665,0.0198216824688598,Inf,0.03541034693040247,0.11310991443431083,0.03541034693040247,0.11310991443431083,NA,NA
r1,5,dashboard,hard,0.04341011158004571,0.014477734019781911,Inf,0.015034274323522865,0.07178594883656855,0.015034274323522865,0.07178594883656855,NA,NA
r1,6,dashboard,hard,0.03799566944795185,0.015733349353458465,Inf,0.007158871358986723,0.06883246753691698,0.007158871358986723,0.06883246753691698,NA,NA
r1,7,dashboard,hard,0.006453943798941264,0.004075742669435424,Inf,-0.0015343650434053047,0.014442252641287833,-0.0015343650434053047,0.014442252641287833,NA,NA
r2,1,chatbot,easy,0.3995868113094625,0.06910738894159407,Inf,0.26413881791833654,0.5350348047005884,0.26413881791833654,0.5350348047005884,NA,NA
