item_key,interface_cond,task_complexity,n,mean_class,sd_class,median_class,iqr_class
r1,chatbot,easy,64,4.84375,2.176488726045503,6,4
r1,chatbot,mid,64,3.296875,2.1652353330802283,2,3.25
r1,chatbot,hard,64,2.546875,1.9101208097752633,2,3
r1,dashboard,easy,70,4.9,2.1342615734178687,6,4
r1,dashboard,mid,70,4.1,2.0369770156579676,4,4
r1,dashboard,hard,70,2.442857142857143,1.6474461068418111,2,3
r2,chatbot,easy,64,2.515625,1.7456720859732024,2,3
r2,chatbot,mid,64,3.859375,2.0768351036177735,4,4
r2,chatbot,hard,64,5.015625,1.93129767624924,6,2.25
r2,dashboard,easy,70,2.9285714285714284,1.9731636377150346,2,3
r2,dashboard,mid,70,4.114285714285714,1.8536517592904274,4,3.75
r2,dashboard,hard,70,4.885714285714286,1.8999836547188393,5,2.75
r3,chatbot,easy,64,4.203125,2.063897434236406,5,4
r3,chatbot,mid,64,5.171875,1.7688188822192163,5,1.25
r3,chatbot,hard,64,5.765625,1.640191505466107,6,2
r3,dashboard,easy,70,3.557142857142857,2.047520340439493,3.5,3
r3,dashboard,mid,70,4.314285714285714,1.9302538478615359,5,3
r3,dashboard,hard,70,5.314285714285714,1.646629030340798,6,2.75
